OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;3229;LISK1;034;2011
null;6639;LISK2;034;2011
null;4540;LISK3;034;2011
null;3354;LISK4;034;2011
null;1208;LISK5;034;2011
null;8145;LISK1;035;2011
null;17011;LISK2;035;2011
null;14648;LISK3;035;2011
null;15057;LISK4;035;2011
null;7541;LISK5;035;2011
null;2978;LISK1;036;2011
null;5365;LISK2;036;2011
null;3789;LISK3;036;2011
null;3044;LISK4;036;2011
null;1052;LISK5;036;2011
null;6784;LISK1;037;2011
null;15541;LISK2;037;2011
null;12628;LISK3;037;2011
null;10135;LISK4;037;2011
null;4537;LISK5;037;2011
null;17960;LISK1;038;2011
null;36878;LISK2;038;2011
null;28541;LISK3;038;2011
null;37681;LISK4;038;2011
null;22783;LISK5;038;2011
null;7850;LISK1;039;2011
null;16775;LISK2;039;2011
null;12161;LISK3;039;2011
null;10141;LISK4;039;2011
null;4137;LISK5;039;2011
null;4423;LISK1;040;2011
null;10177;LISK2;040;2011
null;8068;LISK3;040;2011
null;8581;LISK4;040;2011
null;3777;LISK5;040;2011
null;5947;LISK1;041;2011
null;11999;LISK2;041;2011
null;9249;LISK3;041;2011
null;9456;LISK4;041;2011
null;4302;LISK5;041;2011
null;2755;LISK1;042;2011
null;5973;LISK2;042;2011
null;4045;LISK3;042;2011
null;3600;LISK4;042;2011
null;1325;LISK5;042;2011
null;4412;LISK1;043;2011
null;9572;LISK2;043;2011
null;6760;LISK3;043;2011
null;5395;LISK4;043;2011
null;1840;LISK5;043;2011
null;3665;LISK1;044;2011
null;6805;LISK2;044;2011
null;5272;LISK3;044;2011
null;4476;LISK4;044;2011
null;1792;LISK5;044;2011
null;1796;LISK1;034;2022
null;5135;LISK2;034;2022
null;4381;LISK3;034;2022
null;3721;LISK4;034;2022
null;1336;LISK5;034;2022
null;5313;LISK1;035;2022
null;12248;LISK2;035;2022
null;13803;LISK3;035;2022
null;16234;LISK4;035;2022
null;9107;LISK5;035;2022
null;1671;LISK1;036;2022
null;4063;LISK2;036;2022
null;3756;LISK3;036;2022
null;3420;LISK4;036;2022
null;1307;LISK5;036;2022
null;4264;LISK1;037;2022
null;11318;LISK2;037;2022
null;11864;LISK3;037;2022
null;11496;LISK4;037;2022
null;5457;LISK5;037;2022
null;14966;LISK1;038;2022
null;28623;LISK2;038;2022
null;28085;LISK3;038;2022
null;42427;LISK4;038;2022
null;29163;LISK5;038;2022
null;5482;LISK1;039;2022
null;13281;LISK2;039;2022
null;12412;LISK3;039;2022
null;12016;LISK4;039;2022
null;5314;LISK5;039;2022
null;3211;LISK1;040;2022
null;7640;LISK2;040;2022
null;7638;LISK3;040;2022
null;10049;LISK4;040;2022
null;4708;LISK5;040;2022
null;4321;LISK1;041;2022
null;9250;LISK2;041;2022
null;8667;LISK3;041;2022
null;11007;LISK4;041;2022
null;5239;LISK5;041;2022
null;2029;LISK1;042;2022
null;4645;LISK2;042;2022
null;4174;LISK3;042;2022
null;4308;LISK4;042;2022
null;1751;LISK5;042;2022
null;3004;LISK1;043;2022
null;7576;LISK2;043;2022
null;7274;LISK3;043;2022
null;6804;LISK4;043;2022
null;2362;LISK5;043;2022
null;2418;LISK1;044;2022
null;5385;LISK2;044;2022
null;5814;LISK3;044;2022
null;5755;LISK4;044;2022
null;2473;LISK5;044;2022
