OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;1752;LISK1;024;2011
null;3337;LISK2;024;2011
null;2697;LISK3;024;2011
null;2268;LISK4;024;2011
null;1035;LISK5;024;2011
null;1999;LISK1;025;2011
null;4231;LISK2;025;2011
null;2707;LISK3;025;2011
null;2139;LISK4;025;2011
null;761;LISK5;025;2011
null;3842;LISK1;026;2011
null;9759;LISK2;026;2011
null;9223;LISK3;026;2011
null;8046;LISK4;026;2011
null;2582;LISK5;026;2011
null;4323;LISK1;027;2011
null;9924;LISK2;027;2011
null;8184;LISK3;027;2011
null;7389;LISK4;027;2011
null;3205;LISK5;027;2011
null;17226;LISK1;028;2011
null;37993;LISK2;028;2011
null;31066;LISK3;028;2011
null;55456;LISK4;028;2011
null;35045;LISK5;028;2011
null;1415;LISK1;029;2011
null;3469;LISK2;029;2011
null;2968;LISK3;029;2011
null;2335;LISK4;029;2011
null;997;LISK5;029;2011
null;2421;LISK1;030;2011
null;5069;LISK2;030;2011
null;2974;LISK3;030;2011
null;2058;LISK4;030;2011
null;638;LISK5;030;2011
null;4817;LISK1;031;2011
null;11095;LISK2;031;2011
null;7961;LISK3;031;2011
null;7133;LISK4;031;2011
null;2556;LISK5;031;2011
null;1942;LISK1;032;2011
null;4523;LISK2;032;2011
null;3451;LISK3;032;2011
null;2995;LISK4;032;2011
null;1034;LISK5;032;2011
null;3421;LISK1;033;2011
null;7395;LISK2;033;2011
null;6012;LISK3;033;2011
null;4851;LISK4;033;2011
null;1707;LISK5;033;2011
null;1313;LISK1;024;2022
null;2598;LISK2;024;2022
null;2677;LISK3;024;2022
null;2432;LISK4;024;2022
null;1318;LISK5;024;2022
null;1313;LISK1;025;2022
null;3166;LISK2;025;2022
null;2750;LISK3;025;2022
null;2278;LISK4;025;2022
null;898;LISK5;025;2022
null;2605;LISK1;026;2022
null;7279;LISK2;026;2022
null;8753;LISK3;026;2022
null;8445;LISK4;026;2022
null;3121;LISK5;026;2022
null;3065;LISK1;027;2022
null;7454;LISK2;027;2022
null;8192;LISK3;027;2022
null;8120;LISK4;027;2022
null;3940;LISK5;027;2022
null;13931;LISK1;028;2022
null;25768;LISK2;028;2022
null;28341;LISK3;028;2022
null;52699;LISK4;028;2022
null;42172;LISK5;028;2022
null;1005;LISK1;029;2022
null;2509;LISK2;029;2022
null;2807;LISK3;029;2022
null;2698;LISK4;029;2022
null;1391;LISK5;029;2022
null;1386;LISK1;030;2022
null;4244;LISK2;030;2022
null;3031;LISK3;030;2022
null;2372;LISK4;030;2022
null;690;LISK5;030;2022
null;3439;LISK1;031;2022
null;8715;LISK2;031;2022
null;8057;LISK3;031;2022
null;8043;LISK4;031;2022
null;3145;LISK5;031;2022
null;1538;LISK1;032;2022
null;3421;LISK2;032;2022
null;3330;LISK3;032;2022
null;3354;LISK4;032;2022
null;1290;LISK5;032;2022
null;2313;LISK1;033;2022
null;5893;LISK2;033;2022
null;6000;LISK3;033;2022
null;5195;LISK4;033;2022
null;2016;LISK5;033;2022
