OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;5213;LISK1;045;2011
null;10349;LISK2;045;2011
null;8428;LISK3;045;2011
null;7873;LISK4;045;2011
null;3091;LISK5;045;2011
null;8749;LISK1;046;2011
null;18729;LISK2;046;2011
null;16076;LISK3;046;2011
null;23447;LISK4;046;2011
null;11685;LISK5;046;2011
null;3655;LISK1;047;2011
null;6697;LISK2;047;2011
null;5683;LISK3;047;2011
null;4903;LISK4;047;2011
null;1663;LISK5;047;2011
null;4618;LISK1;048;2011
null;9721;LISK2;048;2011
null;7804;LISK3;048;2011
null;11427;LISK4;048;2011
null;5658;LISK5;048;2011
null;5965;LISK1;049;2011
null;12710;LISK2;049;2011
null;8506;LISK3;049;2011
null;8366;LISK4;049;2011
null;2716;LISK5;049;2011
null;6226;LISK1;050;2011
null;13705;LISK2;050;2011
null;11682;LISK3;050;2011
null;12016;LISK4;050;2011
null;4801;LISK5;050;2011
null;3956;LISK1;051;2011
null;7589;LISK2;051;2011
null;4658;LISK3;051;2011
null;4039;LISK4;051;2011
null;1234;LISK5;051;2011
null;3349;LISK1;052;2011
null;7629;LISK2;052;2011
null;6176;LISK3;052;2011
null;6696;LISK4;052;2011
null;3285;LISK5;052;2011
null;4813;LISK1;053;2011
null;8906;LISK2;053;2011
null;6626;LISK3;053;2011
null;5625;LISK4;053;2011
null;1844;LISK5;053;2011
null;3172;LISK1;045;2022
null;7213;LISK2;045;2022
null;8145;LISK3;045;2022
null;8566;LISK4;045;2022
null;3527;LISK5;045;2022
null;6099;LISK1;046;2022
null;12369;LISK2;046;2022
null;14447;LISK3;046;2022
null;23961;LISK4;046;2022
null;13311;LISK5;046;2022
null;1999;LISK1;047;2022
null;4716;LISK2;047;2022
null;5617;LISK3;047;2022
null;5377;LISK4;047;2022
null;1974;LISK5;047;2022
null;2984;LISK1;048;2022
null;6630;LISK2;048;2022
null;7196;LISK3;048;2022
null;11372;LISK4;048;2022
null;6714;LISK5;048;2022
null;3165;LISK1;049;2022
null;9038;LISK2;049;2022
null;7832;LISK3;049;2022
null;8223;LISK4;049;2022
null;2932;LISK5;049;2022
null;3893;LISK1;050;2022
null;9725;LISK2;050;2022
null;11355;LISK3;050;2022
null;12366;LISK4;050;2022
null;5471;LISK5;050;2022
null;2086;LISK1;051;2022
null;5869;LISK2;051;2022
null;4738;LISK3;051;2022
null;4466;LISK4;051;2022
null;1596;LISK5;051;2022
null;1985;LISK1;052;2022
null;5178;LISK2;052;2022
null;5688;LISK3;052;2022
null;6725;LISK4;052;2022
null;3720;LISK5;052;2022
null;2611;LISK1;053;2022
null;6866;LISK2;053;2022
null;6546;LISK3;053;2022
null;6307;LISK4;053;2022
null;2091;LISK5;053;2022
