OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;3504;LISK1;054;2011
null;5563;LISK2;054;2011
null;3040;LISK3;054;2011
null;1906;LISK4;054;2011
null;637;LISK5;054;2011
null;6832;LISK1;055;2011
null;10287;LISK2;055;2011
null;5841;LISK3;055;2011
null;5469;LISK4;055;2011
null;1874;LISK5;055;2011
null;4582;LISK1;056;2011
null;6246;LISK2;056;2011
null;3809;LISK3;056;2011
null;3349;LISK4;056;2011
null;1356;LISK5;056;2011
null;3376;LISK1;057;2011
null;5322;LISK2;057;2011
null;3087;LISK3;057;2011
null;2632;LISK4;057;2011
null;948;LISK5;057;2011
null;8322;LISK1;058;2011
null;16925;LISK2;058;2011
null;14478;LISK3;058;2011
null;16463;LISK4;058;2011
null;5830;LISK5;058;2011
null;2580;LISK1;059;2011
null;5029;LISK2;059;2011
null;2744;LISK3;059;2011
null;2234;LISK4;059;2011
null;728;LISK5;059;2011
null;5869;LISK1;060;2011
null;11387;LISK2;060;2011
null;9284;LISK3;060;2011
null;9619;LISK4;060;2011
null;3649;LISK5;060;2011
null;28029;LISK1;061;2011
null;52734;LISK2;061;2011
null;39772;LISK3;061;2011
null;74593;LISK4;061;2011
null;38151;LISK5;061;2011
null;9268;LISK1;062;2011
null;15898;LISK2;062;2011
null;10804;LISK3;062;2011
null;10517;LISK4;062;2011
null;3430;LISK5;062;2011
null;3062;LISK1;063;2011
null;6252;LISK2;063;2011
null;3815;LISK3;063;2011
null;3634;LISK4;063;2011
null;1058;LISK5;063;2011
null;3636;LISK1;064;2011
null;6884;LISK2;064;2011
null;5165;LISK3;064;2011
null;5048;LISK4;064;2011
null;2685;LISK5;064;2011
null;2873;LISK1;065;2011
null;6020;LISK2;065;2011
null;4524;LISK3;065;2011
null;5743;LISK4;065;2011
null;2453;LISK5;065;2011
null;7005;LISK1;066;2011
null;11408;LISK2;066;2011
null;7919;LISK3;066;2011
null;8215;LISK4;066;2011
null;3009;LISK5;066;2011
null;3474;LISK1;067;2011
null;5198;LISK2;067;2011
null;3129;LISK3;067;2011
null;3151;LISK4;067;2011
null;1034;LISK5;067;2011
null;4034;LISK1;068;2011
null;7299;LISK2;068;2011
null;6323;LISK3;068;2011
null;8040;LISK4;068;2011
null;3754;LISK5;068;2011
null;1940;LISK1;069;2011
null;3896;LISK2;069;2011
null;2519;LISK3;069;2011
null;2980;LISK4;069;2011
null;1225;LISK5;069;2011
null;2289;LISK1;054;2022
null;4789;LISK2;054;2022
null;2945;LISK3;054;2022
null;2411;LISK4;054;2022
null;784;LISK5;054;2022
null;5104;LISK1;055;2022
null;8875;LISK2;055;2022
null;6041;LISK3;055;2022
null;6104;LISK4;055;2022
null;2240;LISK5;055;2022
null;3418;LISK1;056;2022
null;6167;LISK2;056;2022
null;3683;LISK3;056;2022
null;3792;LISK4;056;2022
null;1472;LISK5;056;2022
null;2256;LISK1;057;2022
null;4416;LISK2;057;2022
null;3009;LISK3;057;2022
null;3301;LISK4;057;2022
null;1307;LISK5;057;2022
null;5689;LISK1;058;2022
null;11960;LISK2;058;2022
null;12836;LISK3;058;2022
null;17181;LISK4;058;2022
null;6600;LISK5;058;2022
null;1668;LISK1;059;2022
null;4293;LISK2;059;2022
null;2827;LISK3;059;2022
null;2669;LISK4;059;2022
null;809;LISK5;059;2022
null;3608;LISK1;060;2022
null;8484;LISK2;060;2022
null;8774;LISK3;060;2022
null;10566;LISK4;060;2022
null;4882;LISK5;060;2022
null;20998;LISK1;061;2022
null;37720;LISK2;061;2022
null;35690;LISK3;061;2022
null;72350;LISK4;061;2022
null;44573;LISK5;061;2022
null;6524;LISK1;062;2022
null;13444;LISK2;062;2022
null;10376;LISK3;062;2022
null;10411;LISK4;062;2022
null;3780;LISK5;062;2022
null;2019;LISK1;063;2022
null;4723;LISK2;063;2022
null;3853;LISK3;063;2022
null;3917;LISK4;063;2022
null;1240;LISK5;063;2022
null;2075;LISK1;064;2022
null;4503;LISK2;064;2022
null;4617;LISK3;064;2022
null;5327;LISK4;064;2022
null;3074;LISK5;064;2022
null;1764;LISK1;065;2022
null;4238;LISK2;065;2022
null;4117;LISK3;065;2022
null;5941;LISK4;065;2022
null;2729;LISK5;065;2022
null;4414;LISK1;066;2022
null;9563;LISK2;066;2022
null;7263;LISK3;066;2022
null;8906;LISK4;066;2022
null;3415;LISK5;066;2022
null;2630;LISK1;067;2022
null;4607;LISK2;067;2022
null;3216;LISK3;067;2022
null;3434;LISK4;067;2022
null;1240;LISK5;067;2022
null;2908;LISK1;068;2022
null;5838;LISK2;068;2022
null;5865;LISK3;068;2022
null;8282;LISK4;068;2022
null;4428;LISK5;068;2022
null;1254;LISK1;069;2022
null;2515;LISK2;069;2022
null;2217;LISK3;069;2022
null;2967;LISK4;069;2022
null;1469;LISK5;069;2022
