OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;1161;LISK1;001;2011
null;2275;LISK2;001;2011
null;993;LISK3;001;2011
null;7141;LISK4;001;2011
null;11108;LISK5;001;2011
null;6122;LISK1;002;2011
null;8135;LISK2;002;2011
null;3100;LISK3;002;2011
null;23000;LISK4;002;2011
null;40907;LISK5;002;2011
null;9368;LISK1;003;2011
null;18602;LISK2;003;2011
null;12975;LISK3;003;2011
null;41772;LISK4;003;2011
null;35227;LISK5;003;2011
null;7474;LISK1;004;2011
null;16496;LISK2;004;2011
null;13292;LISK3;004;2011
null;33281;LISK4;004;2011
null;20951;LISK5;004;2011
null;1174;LISK1;005;2011
null;3456;LISK2;005;2011
null;1686;LISK3;005;2011
null;8170;LISK4;005;2011
null;9787;LISK5;005;2011
null;1935;LISK1;006;2011
null;5369;LISK2;006;2011
null;3418;LISK3;006;2011
null;12867;LISK4;006;2011
null;13098;LISK5;006;2011
null;3586;LISK1;007;2011
null;9391;LISK2;007;2011
null;6074;LISK3;007;2011
null;18550;LISK4;007;2011
null;16057;LISK5;007;2011
null;5316;LISK1;008;2011
null;14926;LISK2;008;2011
null;9547;LISK3;008;2011
null;24381;LISK4;008;2011
null;18340;LISK5;008;2011
null;3591;LISK1;009;2011
null;9503;LISK2;009;2011
null;5790;LISK3;009;2011
null;19917;LISK4;009;2011
null;19551;LISK5;009;2011
null;6512;LISK1;010;2011
null;16970;LISK2;010;2011
null;11863;LISK3;010;2011
null;25886;LISK4;010;2011
null;14394;LISK5;010;2011
null;8149;LISK1;011;2011
null;16662;LISK2;011;2011
null;9122;LISK3;011;2011
null;49003;LISK4;011;2011
null;51250;LISK5;011;2011
null;3684;LISK1;012;2011
null;5109;LISK2;012;2011
null;1819;LISK3;012;2011
null;15708;LISK4;012;2011
null;27116;LISK5;012;2011
null;6723;LISK1;013;2011
null;17346;LISK2;013;2011
null;11568;LISK3;013;2011
null;38654;LISK4;013;2011
null;37805;LISK5;013;2011
null;8360;LISK1;014;2011
null;18702;LISK2;014;2011
