OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;3034;LISK1;070;2011
null;6288;LISK2;070;2011
null;4560;LISK3;070;2011
null;5352;LISK4;070;2011
null;2420;LISK5;070;2011
null;6240;LISK1;071;2011
null;14024;LISK2;071;2011
null;11759;LISK3;071;2011
null;14494;LISK4;071;2011
null;6390;LISK5;071;2011
null;2592;LISK1;072;2011
null;6045;LISK2;072;2011
null;3792;LISK3;072;2011
null;3540;LISK4;072;2011
null;1188;LISK5;072;2011
null;5968;LISK1;073;2011
null;12806;LISK2;073;2011
null;9527;LISK3;073;2011
null;10450;LISK4;073;2011
null;3540;LISK5;073;2011
null;3582;LISK1;074;2011
null;9455;LISK2;074;2011
null;5881;LISK3;074;2011
null;5997;LISK4;074;2011
null;2245;LISK5;074;2011
null;18582;LISK1;075;2011
null;37614;LISK2;075;2011
null;32312;LISK3;075;2011
null;62919;LISK4;075;2011
null;39898;LISK5;075;2011
null;4884;LISK1;076;2011
null;11498;LISK2;076;2011
null;8429;LISK3;076;2011
null;9957;LISK4;076;2011
null;4164;LISK5;076;2011
null;2016;LISK1;070;2022
null;4420;LISK2;070;2022
null;4609;LISK3;070;2022
null;5656;LISK4;070;2022
null;2773;LISK5;070;2022
null;4620;LISK1;071;2022
null;9752;LISK2;071;2022
null;10879;LISK3;071;2022
null;15008;LISK4;071;2022
null;7417;LISK5;071;2022
null;1639;LISK1;072;2022
null;4682;LISK2;072;2022
null;4057;LISK3;072;2022
null;4048;LISK4;072;2022
null;1604;LISK5;072;2022
null;3875;LISK1;073;2022
null;9626;LISK2;073;2022
null;9157;LISK3;073;2022
null;11598;LISK4;073;2022
null;4251;LISK5;073;2022
null;2509;LISK1;074;2022
null;6801;LISK2;074;2022
null;6002;LISK3;074;2022
null;7352;LISK4;074;2022
null;3307;LISK5;074;2022
null;14934;LISK1;075;2022
null;27466;LISK2;075;2022
null;29948;LISK3;075;2022
null;62876;LISK4;075;2022
null;49693;LISK5;075;2022
null;3097;LISK1;076;2022
null;7714;LISK2;076;2022
null;7785;LISK3;076;2022
null;10485;LISK4;076;2022
null;4926;LISK5;076;2022
