OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;4508;LISK1;077;2011
null;9067;LISK2;077;2011
null;7210;LISK3;077;2011
null;8021;LISK4;077;2011
null;3708;LISK5;077;2011
null;10100;LISK1;078;2011
null;23322;LISK2;078;2011
null;20528;LISK3;078;2011
null;25104;LISK4;078;2011
null;9788;LISK5;078;2011
null;2917;LISK1;079;2011
null;7145;LISK2;079;2011
null;4647;LISK3;079;2011
null;3409;LISK4;079;2011
null;1087;LISK5;079;2011
null;3137;LISK1;080;2011
null;6753;LISK2;080;2011
null;5292;LISK3;080;2011
null;7279;LISK4;080;2011
null;4768;LISK5;080;2011
null;3590;LISK1;081;2011
null;7568;LISK2;081;2011
null;5484;LISK3;081;2011
null;6231;LISK4;081;2011
null;2923;LISK5;081;2011
null;3693;LISK1;082;2011
null;9263;LISK2;082;2011
null;7967;LISK3;082;2011
null;8117;LISK4;082;2011
null;3193;LISK5;082;2011
null;4175;LISK1;084;2011
null;9409;LISK2;084;2011
null;6001;LISK3;084;2011
null;5057;LISK4;084;2011
null;1685;LISK5;084;2011
null;15214;LISK1;085;2011
null;33771;LISK2;085;2011
null;27227;LISK3;085;2011
null;43294;LISK4;085;2011
null;25380;LISK5;085;2011
null;3469;LISK1;077;2022
null;7579;LISK2;077;2022
null;7245;LISK3;077;2022
null;9610;LISK4;077;2022
null;5489;LISK5;077;2022
null;7376;LISK1;078;2022
null;17270;LISK2;078;2022
null;19188;LISK3;078;2022
null;27036;LISK4;078;2022
null;12143;LISK5;078;2022
null;1964;LISK1;079;2022
null;5685;LISK2;079;2022
null;5023;LISK3;079;2022
null;4089;LISK4;079;2022
null;1309;LISK5;079;2022
null;3316;LISK1;080;2022
null;5599;LISK2;080;2022
null;5593;LISK3;080;2022
null;10234;LISK4;080;2022
null;8832;LISK5;080;2022
null;3178;LISK1;081;2022
null;6228;LISK2;081;2022
null;5477;LISK3;081;2022
null;7616;LISK4;081;2022
null;4395;LISK5;081;2022
null;3059;LISK1;082;2022
null;7027;LISK2;082;2022
null;7745;LISK3;082;2022
null;9118;LISK4;082;2022
null;4264;LISK5;082;2022
null;2825;LISK1;084;2022
null;7402;LISK2;084;2022
null;6125;LISK3;084;2022
null;5727;LISK4;084;2022
null;2037;LISK5;084;2022
null;12400;LISK1;085;2022
null;25184;LISK2;085;2022
null;26011;LISK3;085;2022
null;45448;LISK4;085;2022
null;30830;LISK5;085;2022
