OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;3850;LISK1;086;2011
null;8488;LISK2;086;2011
null;8345;LISK3;086;2011
null;7647;LISK4;086;2011
null;2687;LISK5;086;2011
null;17313;LISK1;087;2011
null;36942;LISK2;087;2011
null;35381;LISK3;087;2011
null;54915;LISK4;087;2011
null;32023;LISK5;087;2011
null;2713;LISK1;088;2011
null;6637;LISK2;088;2011
null;5967;LISK3;088;2011
null;5900;LISK4;088;2011
null;2036;LISK5;088;2011
null;7238;LISK1;089;2011
null;17333;LISK2;089;2011
null;17389;LISK3;089;2011
null;18062;LISK4;089;2011
null;7375;LISK5;089;2011
null;1751;LISK1;090;2011
null;4196;LISK2;090;2011
null;3773;LISK3;090;2011
null;3132;LISK4;090;2011
null;1347;LISK5;090;2011
null;9384;LISK1;091;2011
null;21499;LISK2;091;2011
null;20147;LISK3;091;2011
null;27134;LISK4;091;2011
null;13175;LISK5;091;2011
null;1668;LISK1;092;2011
null;3849;LISK2;092;2011
null;3963;LISK3;092;2011
null;2984;LISK4;092;2011
null;975;LISK5;092;2011
null;2622;LISK1;086;2022
null;6232;LISK2;086;2022
null;8911;LISK3;086;2022
null;8417;LISK4;086;2022
null;3567;LISK5;086;2022
null;16915;LISK1;087;2022
null;28858;LISK2;087;2022
null;36761;LISK3;087;2022
null;59194;LISK4;087;2022
null;43101;LISK5;087;2022
null;1903;LISK1;088;2022
null;4947;LISK2;088;2022
null;6346;LISK3;088;2022
null;6720;LISK4;088;2022
null;2611;LISK5;088;2022
null;6636;LISK1;089;2022
null;14316;LISK2;089;2022
null;18751;LISK3;089;2022
null;23049;LISK4;089;2022
null;11065;LISK5;089;2022
null;1382;LISK1;090;2022
null;2951;LISK2;090;2022
null;4023;LISK3;090;2022
null;3745;LISK4;090;2022
null;2011;LISK5;090;2022
null;8534;LISK1;091;2022
null;15961;LISK2;091;2022
null;20950;LISK3;091;2022
null;31317;LISK4;091;2022
null;17756;LISK5;091;2022
null;1389;LISK1;092;2022
null;2913;LISK2;092;2022
null;4190;LISK3;092;2022
null;3809;LISK4;092;2022
null;1502;LISK5;092;2022
