OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;5345;LISK1;093;2011
null;9139;LISK2;093;2011
null;6807;LISK3;093;2011
null;5031;LISK4;093;2011
null;1744;LISK5;093;2011
null;7728;LISK1;094;2011
null;12880;LISK2;094;2011
null;8714;LISK3;094;2011
null;9083;LISK4;094;2011
null;3560;LISK5;094;2011
null;21163;LISK1;095;2011
null;41366;LISK2;095;2011
null;34542;LISK3;095;2011
null;67936;LISK4;095;2011
null;44812;LISK5;095;2011
null;7539;LISK1;096;2011
null;12478;LISK2;096;2011
null;8197;LISK3;096;2011
null;7459;LISK4;096;2011
null;2658;LISK5;096;2011
null;5939;LISK1;097;2011
null;11361;LISK2;097;2011
null;8627;LISK3;097;2011
null;8256;LISK4;097;2011
null;3541;LISK5;097;2011
null;3906;LISK1;098;2011
null;6732;LISK2;098;2011
null;4351;LISK3;098;2011
null;3855;LISK4;098;2011
null;1312;LISK5;098;2011
null;4711;LISK1;099;2011
null;7519;LISK2;099;2011
null;6852;LISK3;099;2011
null;6310;LISK4;099;2011
null;2291;LISK5;099;2011
null;5874;LISK1;100;2011
null;11131;LISK2;100;2011
null;9307;LISK3;100;2011
null;9487;LISK4;100;2011
null;4323;LISK5;100;2011
null;5926;LISK1;101;2011
null;9597;LISK2;101;2011
null;6040;LISK3;101;2011
null;4444;LISK4;101;2011
null;1364;LISK5;101;2011
null;6685;LISK1;102;2011
null;11902;LISK2;102;2011
null;8814;LISK3;102;2011
null;7597;LISK4;102;2011
null;2735;LISK5;102;2011
null;3233;LISK1;093;2022
null;7520;LISK2;093;2022
null;7293;LISK3;093;2022
null;6121;LISK4;093;2022
null;2373;LISK5;093;2022
null;4551;LISK1;094;2022
null;10381;LISK2;094;2022
null;8819;LISK3;094;2022
null;10123;LISK4;094;2022
null;4276;LISK5;094;2022
null;16964;LISK1;095;2022
null;29597;LISK2;095;2022
null;30128;LISK3;095;2022
null;67729;LISK4;095;2022
null;55791;LISK5;095;2022
null;4726;LISK1;096;2022
null;10885;LISK2;096;2022
null;8717;LISK3;096;2022
null;8935;LISK4;096;2022
null;3733;LISK5;096;2022
null;3719;LISK1;097;2022
null;8782;LISK2;097;2022
null;7967;LISK3;097;2022
null;9806;LISK4;097;2022
null;4533;LISK5;097;2022
null;2948;LISK1;098;2022
null;6144;LISK2;098;2022
null;4421;LISK3;098;2022
null;4865;LISK4;098;2022
null;1964;LISK5;098;2022
null;2921;LISK1;099;2022
null;5793;LISK2;099;2022
null;6754;LISK3;099;2022
null;7432;LISK4;099;2022
null;2983;LISK5;099;2022
null;4091;LISK1;100;2022
null;8608;LISK2;100;2022
null;9154;LISK3;100;2022
null;10837;LISK4;100;2022
null;5978;LISK5;100;2022
null;3485;LISK1;101;2022
null;8378;LISK2;101;2022
null;6150;LISK3;101;2022
null;5604;LISK4;101;2022
null;1835;LISK5;101;2022
null;3875;LISK1;102;2022
null;9392;LISK2;102;2022
null;8671;LISK3;102;2022
null;8305;LISK4;102;2022
null;3271;LISK5;102;2022
