OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;1389;LISK1;103;2011
null;2683;LISK2;103;2011
null;1964;LISK3;103;2011
null;1836;LISK4;103;2011
null;647;LISK5;103;2011
null;9546;LISK1;104;2011
null;18035;LISK2;104;2011
null;13818;LISK3;104;2011
null;25576;LISK4;104;2011
null;15398;LISK5;104;2011
null;4947;LISK1;105;2011
null;8711;LISK2;105;2011
null;6465;LISK3;105;2011
null;6219;LISK4;105;2011
null;1922;LISK5;105;2011
null;8859;LISK1;106;2011
null;17092;LISK2;106;2011
null;14257;LISK3;106;2011
null;18994;LISK4;106;2011
null;8446;LISK5;106;2011
null;6391;LISK1;107;2011
null;13802;LISK2;107;2011
null;11992;LISK3;107;2011
null;12553;LISK4;107;2011
null;4735;LISK5;107;2011
null;6777;LISK1;108;2011
null;11150;LISK2;108;2011
null;6771;LISK3;108;2011
null;5460;LISK4;108;2011
null;1950;LISK5;108;2011
null;3510;LISK1;109;2011
null;6486;LISK2;109;2011
null;4316;LISK3;109;2011
null;4446;LISK4;109;2011
null;1418;LISK5;109;2011
null;823;LISK1;103;2022
null;1884;LISK2;103;2022
null;1809;LISK3;103;2022
null;2021;LISK4;103;2022
null;787;LISK5;103;2022
null;6898;LISK1;104;2022
null;12184;LISK2;104;2022
null;13005;LISK3;104;2022
null;24947;LISK4;104;2022
null;18492;LISK5;104;2022
null;3212;LISK1;105;2022
null;7071;LISK2;105;2022
null;6409;LISK3;105;2022
null;7010;LISK4;105;2022
null;2387;LISK5;105;2022
null;6021;LISK1;106;2022
null;13127;LISK2;106;2022
null;13485;LISK3;106;2022
null;19678;LISK4;106;2022
null;10260;LISK5;106;2022
null;4398;LISK1;107;2022
null;10404;LISK2;107;2022
null;11744;LISK3;107;2022
null;14323;LISK4;107;2022
null;6194;LISK5;107;2022
null;4377;LISK1;108;2022
null;10270;LISK2;108;2022
null;6880;LISK3;108;2022
null;6041;LISK4;108;2022
null;2274;LISK5;108;2022
null;1921;LISK1;109;2022
null;5184;LISK2;109;2022
null;4173;LISK3;109;2022
null;4637;LISK4;109;2022
null;1781;LISK5;109;2022
