OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;5623;LISK1;161;2011
null;10122;LISK2;161;2011
null;6762;LISK3;161;2011
null;6228;LISK4;161;2011
null;1994;LISK5;161;2011
null;6569;LISK1;162;2011
null;13214;LISK2;162;2011
null;10641;LISK3;162;2011
null;11603;LISK4;162;2011
null;5878;LISK5;162;2011
null;7095;LISK1;163;2011
null;11920;LISK2;163;2011
null;8619;LISK3;163;2011
null;9057;LISK4;163;2011
null;3523;LISK5;163;2011
null;4027;LISK1;164;2011
null;6391;LISK2;164;2011
null;3933;LISK3;164;2011
null;2889;LISK4;164;2011
null;1019;LISK5;164;2011
null;5578;LISK1;165;2011
null;10856;LISK2;165;2011
null;8279;LISK3;165;2011
null;6739;LISK4;165;2011
null;2286;LISK5;165;2011
null;3797;LISK1;166;2011
null;8114;LISK2;166;2011
null;6051;LISK3;166;2011
null;6036;LISK4;166;2011
null;2441;LISK5;166;2011
null;12869;LISK1;167;2011
null;26368;LISK2;167;2011
null;20779;LISK3;167;2011
null;33090;LISK4;167;2011
null;17761;LISK5;167;2011
null;3106;LISK1;168;2011
null;5395;LISK2;168;2011
null;4487;LISK3;168;2011
null;3858;LISK4;168;2011
null;1536;LISK5;168;2011
null;5678;LISK1;169;2011
null;10350;LISK2;169;2011
null;8519;LISK3;169;2011
null;7171;LISK4;169;2011
null;2468;LISK5;169;2011
null;3754;LISK1;161;2022
null;8632;LISK2;161;2022
null;6901;LISK3;161;2022
null;6803;LISK4;161;2022
null;2364;LISK5;161;2022
null;4728;LISK1;162;2022
null;10254;LISK2;162;2022
null;10584;LISK3;162;2022
null;13437;LISK4;162;2022
null;7221;LISK5;162;2022
null;4471;LISK1;163;2022
null;9493;LISK2;163;2022
null;8474;LISK3;163;2022
null;9492;LISK4;163;2022
null;3965;LISK5;163;2022
null;2812;LISK1;164;2022
null;5975;LISK2;164;2022
null;4120;LISK3;164;2022
null;3448;LISK4;164;2022
null;1164;LISK5;164;2022
null;3378;LISK1;165;2022
null;8494;LISK2;165;2022
null;8158;LISK3;165;2022
null;7118;LISK4;165;2022
null;2577;LISK5;165;2022
null;2434;LISK1;166;2022
null;5892;LISK2;166;2022
null;6024;LISK3;166;2022
null;6378;LISK4;166;2022
null;2705;LISK5;166;2022
null;9207;LISK1;167;2022
null;19054;LISK2;167;2022
null;19501;LISK3;167;2022
null;33653;LISK4;167;2022
null;20229;LISK5;167;2022
null;1900;LISK1;168;2022
null;4138;LISK2;168;2022
null;4335;LISK3;168;2022
null;4372;LISK4;168;2022
null;1828;LISK5;168;2022
null;3549;LISK1;169;2022
null;8385;LISK2;169;2022
null;8555;LISK3;169;2022
null;8073;LISK4;169;2022
null;2737;LISK5;169;2022
