OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;10531;LISK1;110;2011
null;22391;LISK2;110;2011
null;20147;LISK3;110;2011
null;23658;LISK4;110;2011
null;10472;LISK5;110;2011
null;2490;LISK1;111;2011
null;5927;LISK2;111;2011
null;5331;LISK3;111;2011
null;3916;LISK4;111;2011
null;1312;LISK5;111;2011
null;4288;LISK1;112;2011
null;9826;LISK2;112;2011
null;8851;LISK3;112;2011
null;10285;LISK4;112;2011
null;4010;LISK5;112;2011
null;2950;LISK1;113;2011
null;6825;LISK2;113;2011
null;6184;LISK3;113;2011
null;6430;LISK4;113;2011
null;2114;LISK5;113;2011
null;3890;LISK1;114;2011
null;8015;LISK2;114;2011
null;7903;LISK3;114;2011
null;10338;LISK4;114;2011
null;5992;LISK5;114;2011
null;9329;LISK1;115;2011
null;19318;LISK2;115;2011
null;18425;LISK3;115;2011
null;22613;LISK4;115;2011
null;10177;LISK5;115;2011
null;8680;LISK1;110;2022
null;17229;LISK2;110;2022
null;19939;LISK3;110;2022
null;26554;LISK4;110;2022
null;13679;LISK5;110;2022
null;1770;LISK1;111;2022
null;4710;LISK2;111;2022
null;5460;LISK3;111;2022
null;4479;LISK4;111;2022
null;1681;LISK5;111;2022
null;3354;LISK1;112;2022
null;7243;LISK2;112;2022
null;8847;LISK3;112;2022
null;11192;LISK4;112;2022
null;5255;LISK5;112;2022
null;2283;LISK1;113;2022
null;5274;LISK2;113;2022
null;6332;LISK3;113;2022
null;7238;LISK4;113;2022
null;2792;LISK5;113;2022
null;3555;LISK1;114;2022
null;6088;LISK2;114;2022
null;7695;LISK3;114;2022
null;11435;LISK4;114;2022
null;8047;LISK5;114;2022
null;7381;LISK1;115;2022
null;15375;LISK2;115;2022
null;18164;LISK3;115;2022
null;25323;LISK4;115;2022
null;13227;LISK5;115;2022
