OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;5178;LISK1;116;2011
null;10634;LISK2;116;2011
null;8143;LISK3;116;2011
null;10066;LISK4;116;2011
null;3800;LISK5;116;2011
null;2974;LISK1;117;2011
null;6530;LISK2;117;2011
null;4490;LISK3;117;2011
null;5017;LISK4;117;2011
null;1504;LISK5;117;2011
null;4818;LISK1;118;2011
null;9279;LISK2;118;2011
null;6841;LISK3;118;2011
null;6491;LISK4;118;2011
null;2277;LISK5;118;2011
null;3098;LISK1;119;2011
null;6755;LISK2;119;2011
null;5387;LISK3;119;2011
null;5516;LISK4;119;2011
null;2064;LISK5;119;2011
null;8745;LISK1;120;2011
null;18363;LISK2;120;2011
null;10809;LISK3;120;2011
null;15678;LISK4;120;2011
null;7051;LISK5;120;2011
null;3549;LISK1;121;2011
null;6097;LISK2;121;2011
null;3662;LISK3;121;2011
null;3688;LISK4;121;2011
null;1170;LISK5;121;2011
null;3518;LISK1;116;2022
null;7899;LISK2;116;2022
null;7593;LISK3;116;2022
null;10633;LISK4;116;2022
null;4509;LISK5;116;2022
null;1807;LISK1;117;2022
null;4740;LISK2;117;2022
null;4293;LISK3;117;2022
null;5006;LISK4;117;2022
null;1781;LISK5;117;2022
null;3108;LISK1;118;2022
null;7480;LISK2;118;2022
null;6556;LISK3;118;2022
null;7254;LISK4;118;2022
null;2822;LISK5;118;2022
null;2323;LISK1;119;2022
null;5393;LISK2;119;2022
null;5296;LISK3;119;2022
null;6637;LISK4;119;2022
null;2866;LISK5;119;2022
null;5216;LISK1;120;2022
null;13512;LISK2;120;2022
null;10395;LISK3;120;2022
null;15109;LISK4;120;2022
null;7761;LISK5;120;2022
null;2128;LISK1;121;2022
null;5154;LISK2;121;2022
null;3471;LISK3;121;2022
null;3961;LISK4;121;2022
null;1535;LISK5;121;2022
