OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;4864;LISK1;122;2011
null;9906;LISK2;122;2011
null;7942;LISK3;122;2011
null;8657;LISK4;122;2011
null;3452;LISK5;122;2011
null;9077;LISK1;123;2011
null;12870;LISK2;123;2011
null;9769;LISK3;123;2011
null;22315;LISK4;123;2011
null;21705;LISK5;123;2011
null;12019;LISK1;124;2011
null;24822;LISK2;124;2011
null;19291;LISK3;124;2011
null;18978;LISK4;124;2011
null;7655;LISK5;124;2011
null;6734;LISK1;125;2011
null;13814;LISK2;125;2011
null;9934;LISK3;125;2011
null;10505;LISK4;125;2011
null;3794;LISK5;125;2011
null;7705;LISK1;126;2011
null;13257;LISK2;126;2011
null;11236;LISK3;126;2011
null;23836;LISK4;126;2011
null;16155;LISK5;126;2011
null;12249;LISK1;127;2011
null;21825;LISK2;127;2011
null;19097;LISK3;127;2011
null;34092;LISK4;127;2011
null;19947;LISK5;127;2011
null;16126;LISK1;128;2011
null;26777;LISK2;128;2011
null;21910;LISK3;128;2011
null;39328;LISK4;128;2011
null;23928;LISK5;128;2011
null;4911;LISK1;129;2011
null;10178;LISK2;129;2011
null;8486;LISK3;129;2011
null;10539;LISK4;129;2011
null;3559;LISK5;129;2011
null;8365;LISK1;130;2011
null;16834;LISK2;130;2011
null;14029;LISK3;130;2011
null;15864;LISK4;130;2011
null;5877;LISK5;130;2011
null;10404;LISK1;131;2011
null;20553;LISK2;131;2011
null;16242;LISK3;131;2011
null;15150;LISK4;131;2011
null;4734;LISK5;131;2011
null;3917;LISK1;132;2011
null;7713;LISK2;132;2011
null;6004;LISK3;132;2011
null;5967;LISK4;132;2011
null;2477;LISK5;132;2011
null;5999;LISK1;133;2011
null;9609;LISK2;133;2011
null;7744;LISK3;133;2011
null;14378;LISK4;133;2011
null;10916;LISK5;133;2011
null;4594;LISK1;134;2011
null;9016;LISK2;134;2011
null;7286;LISK3;134;2011
null;8984;LISK4;134;2011
null;3379;LISK5;134;2011
null;7897;LISK1;135;2011
null;13544;LISK2;135;2011
null;10728;LISK3;135;2011
null;21504;LISK4;135;2011
null;17782;LISK5;135;2011
null;11905;LISK1;136;2011
null;21922;LISK2;136;2011
null;19976;LISK3;136;2011
null;32320;LISK4;136;2011
null;14258;LISK5;136;2011
null;2828;LISK1;137;2011
null;5753;LISK2;137;2011
null;4440;LISK3;137;2011
null;6779;LISK4;137;2011
null;3306;LISK5;137;2011
null;7290;LISK1;138;2011
null;14679;LISK2;138;2011
null;11731;LISK3;138;2011
null;19129;LISK4;138;2011
null;9526;LISK5;138;2011
null;4856;LISK1;139;2011
null;10204;LISK2;139;2011
null;9260;LISK3;139;2011
null;13598;LISK4;139;2011
null;5251;LISK5;139;2011
null;3730;LISK1;122;2022
null;7866;LISK2;122;2022
null;7711;LISK3;122;2022
null;10546;LISK4;122;2022
null;4988;LISK5;122;2022
null;10706;LISK1;123;2022
null;11908;LISK2;123;2022
null;9272;LISK3;123;2022
null;25365;LISK4;123;2022
null;32212;LISK5;123;2022
null;8962;LISK1;124;2022
null;20156;LISK2;124;2022
null;19550;LISK3;124;2022
null;23395;LISK4;124;2022
null;10420;LISK5;124;2022
null;5166;LISK1;125;2022
null;11789;LISK2;125;2022
null;10175;LISK3;125;2022
null;13524;LISK4;125;2022
null;5624;LISK5;125;2022
null;9136;LISK1;126;2022
null;11635;LISK2;126;2022
null;10367;LISK3;126;2022
null;26711;LISK4;126;2022
null;24243;LISK5;126;2022
null;12069;LISK1;127;2022
null;18519;LISK2;127;2022
null;17982;LISK3;127;2022
null;39688;LISK4;127;2022
null;31797;LISK5;127;2022
null;16349;LISK1;128;2022
null;23841;LISK2;128;2022
null;21995;LISK3;128;2022
null;47691;LISK4;128;2022
null;37366;LISK5;128;2022
null;4211;LISK1;129;2022
null;8339;LISK2;129;2022
null;8258;LISK3;129;2022
null;13274;LISK4;129;2022
null;5642;LISK5;129;2022
null;7398;LISK1;130;2022
null;14319;LISK2;130;2022
null;14003;LISK3;130;2022
null;20892;LISK4;130;2022
null;10308;LISK5;130;2022
null;7197;LISK1;131;2022
null;17829;LISK2;131;2022
null;16599;LISK3;131;2022
null;19283;LISK4;131;2022
null;6894;LISK5;131;2022
null;2655;LISK1;132;2022
null;5934;LISK2;132;2022
null;6084;LISK3;132;2022
null;7041;LISK4;132;2022
null;3068;LISK5;132;2022
null;6081;LISK1;133;2022
null;8157;LISK2;133;2022
null;7443;LISK3;133;2022
null;16121;LISK4;133;2022
null;16237;LISK5;133;2022
null;3436;LISK1;134;2022
null;7984;LISK2;134;2022
null;8028;LISK3;134;2022
null;11584;LISK4;134;2022
null;4818;LISK5;134;2022
null;8745;LISK1;135;2022
null;11939;LISK2;135;2022
null;10825;LISK3;135;2022
null;25299;LISK4;135;2022
null;25902;LISK5;135;2022
null;12827;LISK1;136;2022
null;20481;LISK2;136;2022
null;20385;LISK3;136;2022
null;41498;LISK4;136;2022
null;23633;LISK5;136;2022
null;2534;LISK1;137;2022
null;4334;LISK2;137;2022
null;4259;LISK3;137;2022
null;7529;LISK4;137;2022
null;5016;LISK5;137;2022
null;6726;LISK1;138;2022
null;11773;LISK2;138;2022
null;11085;LISK3;138;2022
null;21857;LISK4;138;2022
null;14040;LISK5;138;2022
null;4713;LISK1;139;2022
null;8428;LISK2;139;2022
null;8752;LISK3;139;2022
null;16136;LISK4;139;2022
null;8543;LISK5;139;2022
