OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;3870;LISK1;140;2011
null;7361;LISK2;140;2011
null;5394;LISK3;140;2011
null;3983;LISK4;140;2011
null;1681;LISK5;140;2011
null;2569;LISK1;141;2011
null;5308;LISK2;141;2011
null;3629;LISK3;141;2011
null;3239;LISK4;141;2011
null;1068;LISK5;141;2011
null;4141;LISK1;142;2011
null;9137;LISK2;142;2011
null;7399;LISK3;142;2011
null;7704;LISK4;142;2011
null;3412;LISK5;142;2011
null;14400;LISK1;143;2011
null;29804;LISK2;143;2011
null;22328;LISK3;143;2011
null;28947;LISK4;143;2011
null;15288;LISK5;143;2011
null;5322;LISK1;144;2011
null;10373;LISK2;144;2011
null;7125;LISK3;144;2011
null;6866;LISK4;144;2011
null;2653;LISK5;144;2011
null;3941;LISK1;145;2011
null;7788;LISK2;145;2011
null;5722;LISK3;145;2011
null;4933;LISK4;145;2011
null;1982;LISK5;145;2011
null;5429;LISK1;146;2011
null;11083;LISK2;146;2011
null;10888;LISK3;146;2011
null;13759;LISK4;146;2011
null;6708;LISK5;146;2011
null;1751;LISK1;147;2011
null;4134;LISK2;147;2011
null;2910;LISK3;147;2011
null;2431;LISK4;147;2011
null;842;LISK5;147;2011
null;2276;LISK1;140;2022
null;5534;LISK2;140;2022
null;5308;LISK3;140;2022
null;4536;LISK4;140;2022
null;1953;LISK5;140;2022
null;1451;LISK1;141;2022
null;4006;LISK2;141;2022
null;3677;LISK3;141;2022
null;3588;LISK4;141;2022
null;1280;LISK5;141;2022
null;2910;LISK1;142;2022
null;6752;LISK2;142;2022
null;7486;LISK3;142;2022
null;8812;LISK4;142;2022
null;4500;LISK5;142;2022
null;9854;LISK1;143;2022
null;21660;LISK2;143;2022
null;22032;LISK3;143;2022
null;29537;LISK4;143;2022
null;17462;LISK5;143;2022
null;3490;LISK1;144;2022
null;8133;LISK2;144;2022
null;7508;LISK3;144;2022
null;7804;LISK4;144;2022
null;3353;LISK5;144;2022
null;2516;LISK1;145;2022
null;5844;LISK2;145;2022
null;5747;LISK3;145;2022
null;5260;LISK4;145;2022
null;2177;LISK5;145;2022
null;4241;LISK1;146;2022
null;8367;LISK2;146;2022
null;10513;LISK3;146;2022
null;15309;LISK4;146;2022
null;9227;LISK5;146;2022
null;1087;LISK1;147;2022
null;3018;LISK2;147;2022
null;3017;LISK3;147;2022
null;2790;LISK4;147;2022
null;1011;LISK5;147;2022
