OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;3484;LISK1;148;2011
null;6766;LISK2;148;2011
null;3520;LISK3;148;2011
null;2926;LISK4;148;2011
null;981;LISK5;148;2011
null;2654;LISK1;149;2011
null;4268;LISK2;149;2011
null;2275;LISK3;149;2011
null;2418;LISK4;149;2011
null;822;LISK5;149;2011
null;7599;LISK1;150;2011
null;10712;LISK2;150;2011
null;6929;LISK3;150;2011
null;6641;LISK4;150;2011
null;2512;LISK5;150;2011
null;4572;LISK1;151;2011
null;7199;LISK2;151;2011
null;4824;LISK3;151;2011
null;3834;LISK4;151;2011
null;1385;LISK5;151;2011
null;4107;LISK1;152;2011
null;7093;LISK2;152;2011
null;4431;LISK3;152;2011
null;3511;LISK4;152;2011
null;1167;LISK5;152;2011
null;8589;LISK1;153;2011
null;16921;LISK2;153;2011
null;10175;LISK3;153;2011
null;11526;LISK4;153;2011
null;4654;LISK5;153;2011
null;11876;LISK1;154;2011
null;18438;LISK2;154;2011
null;11350;LISK3;154;2011
null;12191;LISK4;154;2011
null;4963;LISK5;154;2011
null;5161;LISK1;155;2011
null;9908;LISK2;155;2011
null;6298;LISK3;155;2011
null;4948;LISK4;155;2011
null;1978;LISK5;155;2011
null;8658;LISK1;156;2011
null;12984;LISK2;156;2011
null;8128;LISK3;156;2011
null;7032;LISK4;156;2011
null;2825;LISK5;156;2011
null;19254;LISK1;157;2011
null;37141;LISK2;157;2011
null;30291;LISK3;157;2011
null;42641;LISK4;157;2011
null;27044;LISK5;157;2011
null;5445;LISK1;158;2011
null;7653;LISK2;158;2011
null;5350;LISK3;158;2011
null;4836;LISK4;158;2011
null;2086;LISK5;158;2011
null;6466;LISK1;159;2011
null;10564;LISK2;159;2011
null;6098;LISK3;159;2011
null;6847;LISK4;159;2011
null;2419;LISK5;159;2011
null;3328;LISK1;160;2011
null;5798;LISK2;160;2011
null;2941;LISK3;160;2011
null;4149;LISK4;160;2011
null;1281;LISK5;160;2011
null;2028;LISK1;148;2022
null;5500;LISK2;148;2022
null;3326;LISK3;148;2022
null;3927;LISK4;148;2022
null;1223;LISK5;148;2022
null;1595;LISK1;149;2022
null;3702;LISK2;149;2022
null;2155;LISK3;149;2022
null;2933;LISK4;149;2022
null;1072;LISK5;149;2022
null;4615;LISK1;150;2022
null;9537;LISK2;150;2022
null;6212;LISK3;150;2022
null;9010;LISK4;150;2022
null;3214;LISK5;150;2022
null;2809;LISK1;151;2022
null;6349;LISK2;151;2022
null;4690;LISK3;151;2022
null;4615;LISK4;151;2022
null;1588;LISK5;151;2022
null;2499;LISK1;152;2022
null;6080;LISK2;152;2022
null;4370;LISK3;152;2022
null;4407;LISK4;152;2022
null;1377;LISK5;152;2022
null;5196;LISK1;153;2022
null;13320;LISK2;153;2022
null;8445;LISK3;153;2022
null;14554;LISK4;153;2022
null;6068;LISK5;153;2022
null;7756;LISK1;154;2022
null;16690;LISK2;154;2022
null;10009;LISK3;154;2022
null;14523;LISK4;154;2022
null;6072;LISK5;154;2022
null;3082;LISK1;155;2022
null;7967;LISK2;155;2022
null;6132;LISK3;155;2022
null;6489;LISK4;155;2022
null;2483;LISK5;155;2022
null;5190;LISK1;156;2022
null;11960;LISK2;156;2022
null;7182;LISK3;156;2022
null;8635;LISK4;156;2022
null;3290;LISK5;156;2022
null;15015;LISK1;157;2022
null;28285;LISK2;157;2022
null;27202;LISK3;157;2022
null;47022;LISK4;157;2022
null;33956;LISK5;157;2022
null;3692;LISK1;158;2022
null;7176;LISK2;158;2022
null;5549;LISK3;158;2022
null;5282;LISK4;158;2022
null;2327;LISK5;158;2022
null;4354;LISK1;159;2022
null;9328;LISK2;159;2022
null;5713;LISK3;159;2022
null;9161;LISK4;159;2022
null;3349;LISK5;159;2022
null;2096;LISK1;160;2022
null;5134;LISK2;160;2022
null;2456;LISK3;160;2022
null;4833;LISK4;160;2022
null;1646;LISK5;160;2022
