OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;4084;LISK1;170;2011
null;8989;LISK2;170;2011
null;7760;LISK3;170;2011
null;6331;LISK4;170;2011
null;2665;LISK5;170;2011
null;4025;LISK1;171;2011
null;9019;LISK2;171;2011
null;6884;LISK3;171;2011
null;7539;LISK4;171;2011
null;2869;LISK5;171;2011
null;6761;LISK1;172;2011
null;12238;LISK2;172;2011
null;10697;LISK3;172;2011
null;11312;LISK4;172;2011
null;5343;LISK5;172;2011
null;6679;LISK1;173;2011
null;14563;LISK2;173;2011
null;11780;LISK3;173;2011
null;14677;LISK4;173;2011
null;8529;LISK5;173;2011
null;6015;LISK1;174;2011
null;12168;LISK2;174;2011
null;8792;LISK3;174;2011
null;6554;LISK4;174;2011
null;2674;LISK5;174;2011
null;2428;LISK1;175;2011
null;5112;LISK2;175;2011
null;4057;LISK3;175;2011
null;3738;LISK4;175;2011
null;1645;LISK5;175;2011
null;2551;LISK1;170;2022
null;6154;LISK2;170;2022
null;7443;LISK3;170;2022
null;6941;LISK4;170;2022
null;3280;LISK5;170;2022
null;2529;LISK1;171;2022
null;6606;LISK2;171;2022
null;6669;LISK3;171;2022
null;8032;LISK4;171;2022
null;3306;LISK5;171;2022
null;4360;LISK1;172;2022
null;8993;LISK2;172;2022
null;9914;LISK3;172;2022
null;12066;LISK4;172;2022
null;6799;LISK5;172;2022
null;4894;LISK1;173;2022
null;10384;LISK2;173;2022
null;11093;LISK3;173;2022
null;14451;LISK4;173;2022
null;9551;LISK5;173;2022
null;3722;LISK1;174;2022
null;9211;LISK2;174;2022
null;9034;LISK3;174;2022
null;7175;LISK4;174;2022
null;3031;LISK5;174;2022
null;1732;LISK1;175;2022
null;3910;LISK2;175;2022
null;4222;LISK3;175;2022
null;4216;LISK4;175;2022
null;2055;LISK5;175;2022
