OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;2591;LISK1;176;2011
null;7152;LISK2;176;2011
null;5744;LISK3;176;2011
null;5885;LISK4;176;2011
null;1853;LISK5;176;2011
null;3193;LISK1;177;2011
null;7224;LISK2;177;2011
null;5835;LISK3;177;2011
null;6924;LISK4;177;2011
null;2492;LISK5;177;2011
null;2652;LISK1;178;2011
null;6618;LISK2;178;2011
null;5235;LISK3;178;2011
null;6210;LISK4;178;2011
null;2812;LISK5;178;2011
null;3762;LISK1;179;2011
null;10204;LISK2;179;2011
null;9120;LISK3;179;2011
null;9809;LISK4;179;2011
null;3513;LISK5;179;2011
null;1638;LISK1;180;2011
null;4061;LISK2;180;2011
null;3710;LISK3;180;2011
null;3498;LISK4;180;2011
null;1240;LISK5;180;2011
null;10148;LISK1;181;2011
null;24549;LISK2;181;2011
null;20869;LISK3;181;2011
null;31783;LISK4;181;2011
null;17857;LISK5;181;2011
null;1709;LISK1;182;2011
null;4376;LISK2;182;2011
null;3283;LISK3;182;2011
null;2763;LISK4;182;2011
null;832;LISK5;182;2011
null;1725;LISK1;176;2022
null;5119;LISK2;176;2022
null;5883;LISK3;176;2022
null;6420;LISK4;176;2022
null;2355;LISK5;176;2022
null;2031;LISK1;177;2022
null;5051;LISK2;177;2022
null;5882;LISK3;177;2022
null;7575;LISK4;177;2022
null;3210;LISK5;177;2022
null;2092;LISK1;178;2022
null;4686;LISK2;178;2022
null;5547;LISK3;178;2022
null;7161;LISK4;178;2022
null;3865;LISK5;178;2022
null;2873;LISK1;179;2022
null;7384;LISK2;179;2022
null;9454;LISK3;179;2022
null;10988;LISK4;179;2022
null;4752;LISK5;179;2022
null;1076;LISK1;180;2022
null;2884;LISK2;180;2022
null;3708;LISK3;180;2022
null;3968;LISK4;180;2022
null;1811;LISK5;180;2022
null;8864;LISK1;181;2022
null;18377;LISK2;181;2022
null;20782;LISK3;181;2022
null;34050;LISK4;181;2022
null;22141;LISK5;181;2022
null;1075;LISK1;182;2022
null;3151;LISK2;182;2022
null;3538;LISK3;182;2022
null;3221;LISK4;182;2022
null;1108;LISK5;182;2022
