OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;3983;LISK1;183;2011
null;10096;LISK2;183;2011
null;9940;LISK3;183;2011
null;9236;LISK4;183;2011
null;3571;LISK5;183;2011
null;2218;LISK1;184;2011
null;5337;LISK2;184;2011
null;5087;LISK3;184;2011
null;6576;LISK4;184;2011
null;3552;LISK5;184;2011
null;1995;LISK1;185;2011
null;4802;LISK2;185;2011
null;4894;LISK3;185;2011
null;6619;LISK4;185;2011
null;4082;LISK5;185;2011
null;2240;LISK1;186;2011
null;5094;LISK2;186;2011
null;3699;LISK3;186;2011
null;2301;LISK4;186;2011
null;754;LISK5;186;2011
null;7411;LISK1;187;2011
null;15897;LISK2;187;2011
null;14180;LISK3;187;2011
null;12656;LISK4;187;2011
null;5460;LISK5;187;2011
null;2297;LISK1;188;2011
null;4312;LISK2;188;2011
null;3911;LISK3;188;2011
null;2880;LISK4;188;2011
null;998;LISK5;188;2011
null;3919;LISK1;189;2011
null;7965;LISK2;189;2011
null;8405;LISK3;189;2011
null;8232;LISK4;189;2011
null;3698;LISK5;189;2011
null;4314;LISK1;190;2011
null;9364;LISK2;190;2011
null;9715;LISK3;190;2011
null;8829;LISK4;190;2011
null;3038;LISK5;190;2011
null;7498;LISK1;191;2011
null;15936;LISK2;191;2011
null;14902;LISK3;191;2011
null;23914;LISK4;191;2011
null;15201;LISK5;191;2011
null;2371;LISK1;192;2011
null;5406;LISK2;192;2011
null;4827;LISK3;192;2011
null;3848;LISK4;192;2011
null;1709;LISK5;192;2011
null;2892;LISK1;183;2022
null;7294;LISK2;183;2022
null;9539;LISK3;183;2022
null;10100;LISK4;183;2022
null;4463;LISK5;183;2022
null;2213;LISK1;184;2022
null;3786;LISK2;184;2022
null;5007;LISK3;184;2022
null;7537;LISK4;184;2022
null;5679;LISK5;184;2022
null;1893;LISK1;185;2022
null;3360;LISK2;185;2022
null;4659;LISK3;185;2022
null;7260;LISK4;185;2022
null;5920;LISK5;185;2022
null;1470;LISK1;186;2022
null;4030;LISK2;186;2022
null;3864;LISK3;186;2022
null;2742;LISK4;186;2022
null;941;LISK5;186;2022
null;5034;LISK1;187;2022
null;11844;LISK2;187;2022
null;14184;LISK3;187;2022
null;13935;LISK4;187;2022
null;6398;LISK5;187;2022
null;1334;LISK1;188;2022
null;3556;LISK2;188;2022
null;3981;LISK3;188;2022
null;3320;LISK4;188;2022
null;1334;LISK5;188;2022
null;2664;LISK1;189;2022
null;5894;LISK2;189;2022
null;8102;LISK3;189;2022
null;8699;LISK4;189;2022
null;5079;LISK5;189;2022
null;3308;LISK1;190;2022
null;7042;LISK2;190;2022
null;9574;LISK3;190;2022
null;9816;LISK4;190;2022
null;3778;LISK5;190;2022
null;6453;LISK1;191;2022
null;11705;LISK2;191;2022
null;13965;LISK3;191;2022
null;22947;LISK4;191;2022
null;18538;LISK5;191;2022
null;1609;LISK1;192;2022
null;3848;LISK2;192;2022
null;4867;LISK3;192;2022
null;4507;LISK4;192;2022
null;2206;LISK5;192;2022
