OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;5052;LISK1;193;2011
null;10453;LISK2;193;2011
null;10507;LISK3;193;2011
null;13154;LISK4;193;2011
null;7243;LISK5;193;2011
null;2355;LISK1;194;2011
null;5362;LISK2;194;2011
null;4766;LISK3;194;2011
null;4628;LISK4;194;2011
null;1613;LISK5;194;2011
null;2476;LISK1;195;2011
null;5476;LISK2;195;2011
null;3596;LISK3;195;2011
null;3070;LISK4;195;2011
null;899;LISK5;195;2011
null;8700;LISK1;196;2011
null;21391;LISK2;196;2011
null;15597;LISK3;196;2011
null;19440;LISK4;196;2011
null;8241;LISK5;196;2011
null;10726;LISK1;197;2011
null;23017;LISK2;197;2011
null;22428;LISK3;197;2011
null;26643;LISK4;197;2011
null;13683;LISK5;197;2011
null;2048;LISK1;198;2011
null;4308;LISK2;198;2011
null;3797;LISK3;198;2011
null;3355;LISK4;198;2011
null;1127;LISK5;198;2011
null;3815;LISK1;193;2022
null;7816;LISK2;193;2022
null;10359;LISK3;193;2022
null;14189;LISK4;193;2022
null;9607;LISK5;193;2022
null;1439;LISK1;194;2022
null;3734;LISK2;194;2022
null;4885;LISK3;194;2022
null;4908;LISK4;194;2022
null;2044;LISK5;194;2022
null;1409;LISK1;195;2022
null;4064;LISK2;195;2022
null;3630;LISK3;195;2022
null;3324;LISK4;195;2022
null;1220;LISK5;195;2022
null;6072;LISK1;196;2022
null;15472;LISK2;196;2022
null;15266;LISK3;196;2022
null;20155;LISK4;196;2022
null;9751;LISK5;196;2022
null;7715;LISK1;197;2022
null;16414;LISK2;197;2022
null;21336;LISK3;197;2022
null;27664;LISK4;197;2022
null;16563;LISK5;197;2022
null;1255;LISK1;198;2022
null;3184;LISK2;198;2022
null;3787;LISK3;198;2022
null;3663;LISK4;198;2022
null;1559;LISK5;198;2022
