OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;1048;RE_CA;034;2011
null;135;RE_CD;034;2011
null;21;RE_GC;034;2011
null;5;RE_J;034;2011
null;36;RE_LU;034;2011
null;2154;RE_NOT;034;2011
null;11;RE_OC;034;2011
null;18;RE_OCD;034;2011
null;12019;RE_RC;034;2011
null;2598;RE_CA;035;2011
null;1644;RE_CD;035;2011
null;90;RE_GC;035;2011
null;20;RE_J;035;2011
null;315;RE_LU;035;2011
null;8107;RE_NOT;035;2011
null;95;RE_OC;035;2011
null;125;RE_OCD;035;2011
null;36793;RE_RC;035;2011
null;273;RE_CA;036;2011
null;207;RE_CD;036;2011
null;15;RE_GC;036;2011
null;8;RE_J;036;2011
null;42;RE_LU;036;2011
null;1494;RE_NOT;036;2011
null;8;RE_OC;036;2011
null;24;RE_OCD;036;2011
null;11360;RE_RC;036;2011
null;5957;RE_CA;037;2011
null;508;RE_CD;037;2011
null;121;RE_GC;037;2011
null;13;RE_J;037;2011
null;1299;RE_LU;037;2011
null;5863;RE_NOT;037;2011
null;19;RE_OC;037;2011
null;99;RE_OCD;037;2011
null;25773;RE_RC;037;2011
null;15788;RE_CA;038;2011
null;1816;RE_CD;038;2011
null;424;RE_GC;038;2011
null;75;RE_J;038;2011
null;1575;RE_LU;038;2011
null;23675;RE_NOT;038;2011
null;112;RE_OC;038;2011
null;491;RE_OCD;038;2011
null;70032;RE_RC;038;2011
null;4473;RE_CA;039;2011
null;1635;RE_CD;039;2011
null;82;RE_GC;039;2011
null;7;RE_J;039;2011
null;8789;RE_LU;039;2011
null;3989;RE_NOT;039;2011
null;52;RE_OC;039;2011
null;46;RE_OCD;039;2011
null;26734;RE_RC;039;2011
null;899;RE_CA;040;2011
null;258;RE_CD;040;2011
null;72;RE_GC;040;2011
null;3;RE_J;040;2011
null;74;RE_LU;040;2011
null;3788;RE_NOT;040;2011
null;20;RE_OC;040;2011
null;68;RE_OCD;040;2011
null;22464;RE_RC;040;2011
null;3565;RE_CA;041;2011
null;693;RE_CD;041;2011
null;66;RE_GC;041;2011
null;24;RE_J;041;2011
null;376;RE_LU;041;2011
null;8442;RE_NOT;041;2011
null;23;RE_OC;041;2011
null;88;RE_OCD;041;2011
null;18910;RE_RC;041;2011
null;639;RE_CA;042;2011
null;224;RE_CD;042;2011
null;14;RE_GC;042;2011
Q;null;RE_J;042;2011
null;74;RE_LU;042;2011
null;1447;RE_NOT;042;2011
null;17;RE_OC;042;2011
null;17;RE_OCD;042;2011
null;13116;RE_RC;042;2011
null;8306;RE_CA;043;2011
null;689;RE_CD;043;2011
null;43;RE_GC;043;2011
null;7;RE_J;043;2011
null;656;RE_LU;043;2011
null;4549;RE_NOT;043;2011
null;12;RE_OC;043;2011
null;91;RE_OCD;043;2011
null;9357;RE_RC;043;2011
null;2387;RE_CA;044;2011
null;193;RE_CD;044;2011
null;50;RE_GC;044;2011
Q;null;RE_J;044;2011
null;52;RE_LU;044;2011
null;3319;RE_NOT;044;2011
null;18;RE_OC;044;2011
null;45;RE_OCD;044;2011
null;12200;RE_RC;044;2011
null;707;RE_CA;034;2022
null;176;RE_CD;034;2022
null;42;RE_GC;034;2022
null;9;RE_J;034;2022
null;40;RE_LU;034;2022
null;2331;RE_NOT;034;2022
null;4;RE_OC;034;2022
null;38;RE_OCD;034;2022
null;6830;RE_RC;034;2022
null;2153;RE_CA;035;2022
null;1631;RE_CD;035;2022
null;106;RE_GC;035;2022
null;9;RE_J;035;2022
null;230;RE_LU;035;2022
null;7740;RE_NOT;035;2022
null;64;RE_OC;035;2022
null;94;RE_OCD;035;2022
null;23988;RE_RC;035;2022
null;300;RE_CA;036;2022
null;255;RE_CD;036;2022
null;46;RE_GC;036;2022
Q;null;RE_J;036;2022
null;35;RE_LU;036;2022
null;1577;RE_NOT;036;2022
null;4;RE_OC;036;2022
null;21;RE_OCD;036;2022
null;7120;RE_RC;036;2022
null;4456;RE_CA;037;2022
null;450;RE_CD;037;2022
null;134;RE_GC;037;2022
null;5;RE_J;037;2022
null;978;RE_LU;037;2022
null;5325;RE_NOT;037;2022
null;25;RE_OC;037;2022
null;64;RE_OCD;037;2022
null;17044;RE_RC;037;2022
null;12657;RE_CA;038;2022
null;2261;RE_CD;038;2022
null;675;RE_GC;038;2022
null;57;RE_J;038;2022
null;1523;RE_LU;038;2022
null;19879;RE_NOT;038;2022
null;148;RE_OC;038;2022
null;369;RE_OCD;038;2022
null;49335;RE_RC;038;2022
null;3505;RE_CA;039;2022
null;1512;RE_CD;039;2022
null;130;RE_GC;039;2022
null;15;RE_J;039;2022
null;6617;RE_LU;039;2022
null;3719;RE_NOT;039;2022
null;44;RE_OC;039;2022
null;71;RE_OCD;039;2022
null;18477;RE_RC;039;2022
null;808;RE_CA;040;2022
null;452;RE_CD;040;2022
null;102;RE_GC;040;2022
null;5;RE_J;040;2022
null;74;RE_LU;040;2022
null;3679;RE_NOT;040;2022
null;21;RE_OC;040;2022
null;61;RE_OCD;040;2022
null;14591;RE_RC;040;2022
null;2755;RE_CA;041;2022
null;659;RE_CD;041;2022
null;118;RE_GC;041;2022
null;20;RE_J;041;2022
null;335;RE_LU;041;2022
null;6868;RE_NOT;041;2022
null;29;RE_OC;041;2022
null;64;RE_OCD;041;2022
null;12329;RE_RC;041;2022
null;553;RE_CA;042;2022
null;328;RE_CD;042;2022
null;40;RE_GC;042;2022
null;0;RE_J;042;2022
null;56;RE_LU;042;2022
null;1479;RE_NOT;042;2022
null;12;RE_OC;042;2022
null;28;RE_OCD;042;2022
null;8189;RE_RC;042;2022
null;6568;RE_CA;043;2022
null;774;RE_CD;043;2022
null;116;RE_GC;043;2022
null;9;RE_J;043;2022
null;447;RE_LU;043;2022
null;4177;RE_NOT;043;2022
null;24;RE_OC;043;2022
null;37;RE_OCD;043;2022
null;6095;RE_RC;043;2022
null;1926;RE_CA;044;2022
null;241;RE_CD;044;2022
null;89;RE_GC;044;2022
null;5;RE_J;044;2022
null;76;RE_LU;044;2022
null;3310;RE_NOT;044;2022
null;17;RE_OC;044;2022
null;35;RE_OCD;044;2022
null;8000;RE_RC;044;2022
