OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;9393;RE_CA;045;2011
null;1161;RE_CD;045;2011
null;46;RE_GC;045;2011
null;3;RE_J;045;2011
null;1638;RE_LU;045;2011
null;14138;RE_NOT;045;2011
null;26;RE_OC;045;2011
null;80;RE_OCD;045;2011
null;3321;RE_RC;045;2011
null;6031;RE_CA;046;2011
null;1153;RE_CD;046;2011
null;184;RE_GC;046;2011
null;28;RE_J;046;2011
null;9444;RE_LU;046;2011
null;27653;RE_NOT;046;2011
null;149;RE_OC;046;2011
null;223;RE_OCD;046;2011
null;17627;RE_RC;046;2011
null;3910;RE_CA;047;2011
null;174;RE_CD;047;2011
null;16;RE_GC;047;2011
null;4;RE_J;047;2011
null;233;RE_LU;047;2011
null;8539;RE_NOT;047;2011
null;11;RE_OC;047;2011
null;32;RE_OCD;047;2011
null;4806;RE_RC;047;2011
null;6191;RE_CA;048;2011
null;1064;RE_CD;048;2011
null;244;RE_GC;048;2011
null;6;RE_J;048;2011
null;625;RE_LU;048;2011
null;11768;RE_NOT;048;2011
null;1431;RE_OC;048;2011
null;113;RE_OCD;048;2011
null;8474;RE_RC;048;2011
null;2272;RE_CA;049;2011
null;420;RE_CD;049;2011
null;94;RE_GC;049;2011
null;12;RE_J;049;2011
null;1280;RE_LU;049;2011
null;11054;RE_NOT;049;2011
null;630;RE_OC;049;2011
null;55;RE_OCD;049;2011
null;15633;RE_RC;049;2011
null;2329;RE_CA;050;2011
null;813;RE_CD;050;2011
null;77;RE_GC;050;2011
null;13;RE_J;050;2011
null;6958;RE_LU;050;2011
null;16699;RE_NOT;050;2011
null;29;RE_OC;050;2011
null;65;RE_OCD;050;2011
null;10469;RE_RC;050;2011
null;7429;RE_CA;051;2011
null;807;RE_CD;051;2011
null;72;RE_GC;051;2011
Q;null;RE_J;051;2011
null;76;RE_LU;051;2011
null;7146;RE_NOT;051;2011
null;1200;RE_OC;051;2011
null;38;RE_OCD;051;2011
null;1360;RE_RC;051;2011
null;1191;RE_CA;052;2011
null;263;RE_CD;052;2011
null;47;RE_GC;052;2011
null;6;RE_J;052;2011
null;7523;RE_LU;052;2011
null;7138;RE_NOT;052;2011
null;13;RE_OC;052;2011
null;56;RE_OCD;052;2011
null;5463;RE_RC;052;2011
null;7620;RE_CA;053;2011
null;316;RE_CD;053;2011
null;29;RE_GC;053;2011
Q;null;RE_J;053;2011
null;93;RE_LU;053;2011
null;13109;RE_NOT;053;2011
Q;null;RE_OC;053;2011
null;29;RE_OCD;053;2011
null;2325;RE_RC;053;2011
null;5969;RE_CA;045;2022
null;1035;RE_CD;045;2022
null;60;RE_GC;045;2022
Q;null;RE_J;045;2022
null;1155;RE_LU;045;2022
null;10791;RE_NOT;045;2022
null;14;RE_OC;045;2022
null;45;RE_OCD;045;2022
null;1824;RE_RC;045;2022
null;4725;RE_CA;046;2022
null;991;RE_CD;046;2022
null;210;RE_GC;046;2022
null;15;RE_J;046;2022
null;6529;RE_LU;046;2022
null;20676;RE_NOT;046;2022
null;154;RE_OC;046;2022
null;157;RE_OCD;046;2022
null;11680;RE_RC;046;2022
null;2425;RE_CA;047;2022
null;176;RE_CD;047;2022
null;43;RE_GC;047;2022
null;3;RE_J;047;2022
null;175;RE_LU;047;2022
null;7273;RE_NOT;047;2022
null;4;RE_OC;047;2022
null;32;RE_OCD;047;2022
null;2881;RE_RC;047;2022
null;4602;RE_CA;048;2022
null;831;RE_CD;048;2022
null;276;RE_GC;048;2022
null;4;RE_J;048;2022
null;503;RE_LU;048;2022
null;9904;RE_NOT;048;2022
null;870;RE_OC;048;2022
null;63;RE_OCD;048;2022
null;5818;RE_RC;048;2022
null;1597;RE_CA;049;2022
null;297;RE_CD;049;2022
null;125;RE_GC;049;2022
null;3;RE_J;049;2022
null;887;RE_LU;049;2022
null;7342;RE_NOT;049;2022
null;529;RE_OC;049;2022
null;30;RE_OCD;049;2022
null;8841;RE_RC;049;2022
null;1682;RE_CA;050;2022
null;652;RE_CD;050;2022
null;114;RE_GC;050;2022
null;10;RE_J;050;2022
null;4722;RE_LU;050;2022
null;13595;RE_NOT;050;2022
null;32;RE_OC;050;2022
null;82;RE_OCD;050;2022
null;6706;RE_RC;050;2022
null;4980;RE_CA;051;2022
null;614;RE_CD;051;2022
null;69;RE_GC;051;2022
Q;null;RE_J;051;2022
null;47;RE_LU;051;2022
null;6487;RE_NOT;051;2022
null;805;RE_OC;051;2022
null;12;RE_OCD;051;2022
null;860;RE_RC;051;2022
null;920;RE_CA;052;2022
null;212;RE_CD;052;2022
null;49;RE_GC;052;2022
null;5;RE_J;052;2022
null;5304;RE_LU;052;2022
null;5039;RE_NOT;052;2022
null;14;RE_OC;052;2022
null;37;RE_OCD;052;2022
null;3684;RE_RC;052;2022
null;4942;RE_CA;053;2022
null;281;RE_CD;053;2022
null;110;RE_GC;053;2022
null;5;RE_J;053;2022
null;54;RE_LU;053;2022
null;10845;RE_NOT;053;2022
null;4;RE_OC;053;2022
null;34;RE_OCD;053;2022
null;1152;RE_RC;053;2022
