OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;7958;RE_CA;054;2011
null;405;RE_CD;054;2011
null;1260;RE_GC;054;2011
Q;null;RE_J;054;2011
null;12;RE_LU;054;2011
null;1440;RE_NOT;054;2011
Q;null;RE_OC;054;2011
null;18;RE_OCD;054;2011
null;2510;RE_RC;054;2011
null;6666;RE_CA;055;2011
null;233;RE_CD;055;2011
null;2480;RE_GC;055;2011
Q;null;RE_J;055;2011
null;27;RE_LU;055;2011
null;2371;RE_NOT;055;2011
null;8;RE_OC;055;2011
null;39;RE_OCD;055;2011
null;15213;RE_RC;055;2011
null;3371;RE_CA;056;2011
null;160;RE_CD;056;2011
null;2013;RE_GC;056;2011
null;0;RE_J;056;2011
null;277;RE_LU;056;2011
null;909;RE_NOT;056;2011
Q;null;RE_OC;056;2011
null;10;RE_OCD;056;2011
null;11519;RE_RC;056;2011
null;3958;RE_CA;057;2011
null;102;RE_CD;057;2011
null;1089;RE_GC;057;2011
null;0;RE_J;057;2011
null;45;RE_LU;057;2011
null;551;RE_NOT;057;2011
Q;null;RE_OC;057;2011
null;19;RE_OCD;057;2011
null;8373;RE_RC;057;2011
null;14222;RE_CA;058;2011
null;774;RE_CD;058;2011
null;3444;RE_GC;058;2011
null;5;RE_J;058;2011
null;422;RE_LU;058;2011
null;13600;RE_NOT;058;2011
null;13;RE_OC;058;2011
null;375;RE_OCD;058;2011
null;17135;RE_RC;058;2011
null;6239;RE_CA;059;2011
null;188;RE_CD;059;2011
null;139;RE_GC;059;2011
null;0;RE_J;059;2011
null;14;RE_LU;059;2011
null;1449;RE_NOT;059;2011
null;4;RE_OC;059;2011
null;5;RE_OCD;059;2011
null;3625;RE_RC;059;2011
null;6163;RE_CA;060;2011
null;464;RE_CD;060;2011
null;212;RE_GC;060;2011
Q;null;RE_J;060;2011
null;55;RE_LU;060;2011
null;3502;RE_NOT;060;2011
null;3;RE_OC;060;2011
null;54;RE_OCD;060;2011
null;22312;RE_RC;060;2011
null;44505;RE_CA;061;2011
null;3327;RE_CD;061;2011
null;10765;RE_GC;061;2011
null;108;RE_J;061;2011
null;1925;RE_LU;061;2011
null;39116;RE_NOT;061;2011
null;170;RE_OC;061;2011
null;610;RE_OCD;061;2011
null;80143;RE_RC;061;2011
null;3548;RE_CA;062;2011
null;1197;RE_CD;062;2011
null;909;RE_GC;062;2011
null;9;RE_J;062;2011
null;305;RE_LU;062;2011
null;10408;RE_NOT;062;2011
Q;null;RE_OC;062;2011
null;227;RE_OCD;062;2011
null;24485;RE_RC;062;2011
null;5326;RE_CA;063;2011
null;326;RE_CD;063;2011
null;291;RE_GC;063;2011
null;3;RE_J;063;2011
null;107;RE_LU;063;2011
null;2227;RE_NOT;063;2011
null;3;RE_OC;063;2011
null;15;RE_OCD;063;2011
null;6735;RE_RC;063;2011
null;5600;RE_CA;064;2011
null;295;RE_CD;064;2011
null;3331;RE_GC;064;2011
Q;null;RE_J;064;2011
null;36;RE_LU;064;2011
null;1109;RE_NOT;064;2011
null;5;RE_OC;064;2011
null;30;RE_OCD;064;2011
null;8376;RE_RC;064;2011
null;4885;RE_CA;065;2011
null;323;RE_CD;065;2011
null;2762;RE_GC;065;2011
null;6;RE_J;065;2011
null;45;RE_LU;065;2011
null;2107;RE_NOT;065;2011
null;11;RE_OC;065;2011
null;32;RE_OCD;065;2011
null;8372;RE_RC;065;2011
null;9800;RE_CA;066;2011
null;374;RE_CD;066;2011
null;1492;RE_GC;066;2011
Q;null;RE_J;066;2011
null;71;RE_LU;066;2011
null;2286;RE_NOT;066;2011
null;3;RE_OC;066;2011
null;32;RE_OCD;066;2011
null;18158;RE_RC;066;2011
null;4254;RE_CA;067;2011
null;91;RE_CD;067;2011
null;2529;RE_GC;067;2011
null;0;RE_J;067;2011
null;46;RE_LU;067;2011
null;777;RE_NOT;067;2011
Q;null;RE_OC;067;2011
null;19;RE_OCD;067;2011
null;6979;RE_RC;067;2011
null;5746;RE_CA;068;2011
null;236;RE_CD;068;2011
null;1102;RE_GC;068;2011
Q;null;RE_J;068;2011
null;55;RE_LU;068;2011
null;5817;RE_NOT;068;2011
null;6;RE_OC;068;2011
null;51;RE_OCD;068;2011
null;9443;RE_RC;068;2011
null;3436;RE_CA;069;2011
null;66;RE_CD;069;2011
null;998;RE_GC;069;2011
null;4;RE_J;069;2011
null;41;RE_LU;069;2011
null;1185;RE_NOT;069;2011
null;7;RE_OC;069;2011
null;18;RE_OCD;069;2011
null;4655;RE_RC;069;2011
null;5825;RE_CA;054;2022
null;253;RE_CD;054;2022
null;869;RE_GC;054;2022
null;0;RE_J;054;2022
null;3;RE_LU;054;2022
null;1416;RE_NOT;054;2022
Q;null;RE_OC;054;2022
null;3;RE_OCD;054;2022
null;1622;RE_RC;054;2022
null;5003;RE_CA;055;2022
null;238;RE_CD;055;2022
null;2317;RE_GC;055;2022
null;6;RE_J;055;2022
null;30;RE_LU;055;2022
null;2392;RE_NOT;055;2022
null;3;RE_OC;055;2022
null;9;RE_OCD;055;2022
null;11919;RE_RC;055;2022
null;2439;RE_CA;056;2022
null;109;RE_CD;056;2022
null;1775;RE_GC;056;2022
Q;null;RE_J;056;2022
null;199;RE_LU;056;2022
null;1309;RE_NOT;056;2022
null;3;RE_OC;056;2022
null;5;RE_OCD;056;2022
null;6985;RE_RC;056;2022
null;3098;RE_CA;057;2022
null;89;RE_CD;057;2022
null;812;RE_GC;057;2022
null;0;RE_J;057;2022
null;44;RE_LU;057;2022
null;734;RE_NOT;057;2022
Q;null;RE_OC;057;2022
null;7;RE_OCD;057;2022
null;5954;RE_RC;057;2022
null;9727;RE_CA;058;2022
null;572;RE_CD;058;2022
null;2770;RE_GC;058;2022
null;8;RE_J;058;2022
null;332;RE_LU;058;2022
null;9255;RE_NOT;058;2022
null;23;RE_OC;058;2022
null;82;RE_OCD;058;2022
null;10240;RE_RC;058;2022
null;4070;RE_CA;059;2022
null;130;RE_CD;059;2022
null;123;RE_GC;059;2022
Q;null;RE_J;059;2022
null;10;RE_LU;059;2022
null;1792;RE_NOT;059;2022
Q;null;RE_OC;059;2022
null;16;RE_OCD;059;2022
null;1983;RE_RC;059;2022
null;4663;RE_CA;060;2022
null;414;RE_CD;060;2022
null;296;RE_GC;060;2022
null;6;RE_J;060;2022
null;48;RE_LU;060;2022
null;3427;RE_NOT;060;2022
null;10;RE_OC;060;2022
null;41;RE_OCD;060;2022
null;14995;RE_RC;060;2022
null;35980;RE_CA;061;2022
null;3083;RE_CD;061;2022
null;9456;RE_GC;061;2022
null;101;RE_J;061;2022
null;1525;RE_LU;061;2022
null;25664;RE_NOT;061;2022
null;246;RE_OC;061;2022
null;497;RE_OCD;061;2022
null;56601;RE_RC;061;2022
null;2447;RE_CA;062;2022
null;912;RE_CD;062;2022
null;849;RE_GC;062;2022
null;4;RE_J;062;2022
null;170;RE_LU;062;2022
null;8177;RE_NOT;062;2022
null;9;RE_OC;062;2022
null;46;RE_OCD;062;2022
null;15475;RE_RC;062;2022
null;3749;RE_CA;063;2022
null;241;RE_CD;063;2022
null;295;RE_GC;063;2022
null;5;RE_J;063;2022
null;55;RE_LU;063;2022
null;2088;RE_NOT;063;2022
null;0;RE_OC;063;2022
null;13;RE_OCD;063;2022
null;4284;RE_RC;063;2022
null;4315;RE_CA;064;2022
null;185;RE_CD;064;2022
null;2603;RE_GC;064;2022
null;5;RE_J;064;2022
null;31;RE_LU;064;2022
null;1010;RE_NOT;064;2022
null;10;RE_OC;064;2022
null;18;RE_OCD;064;2022
null;6122;RE_RC;064;2022
null;3761;RE_CA;065;2022
null;265;RE_CD;065;2022
null;2028;RE_GC;065;2022
null;6;RE_J;065;2022
null;35;RE_LU;065;2022
null;1128;RE_NOT;065;2022
null;13;RE_OC;065;2022
null;19;RE_OCD;065;2022
null;5944;RE_RC;065;2022
null;7281;RE_CA;066;2022
null;354;RE_CD;066;2022
null;1386;RE_GC;066;2022
null;7;RE_J;066;2022
null;63;RE_LU;066;2022
null;2567;RE_NOT;066;2022
null;11;RE_OC;066;2022
null;24;RE_OCD;066;2022
null;12613;RE_RC;066;2022
null;2967;RE_CA;067;2022
null;81;RE_CD;067;2022
null;2308;RE_GC;067;2022
null;0;RE_J;067;2022
null;31;RE_LU;067;2022
null;1275;RE_NOT;067;2022
null;7;RE_OC;067;2022
null;9;RE_OCD;067;2022
null;4897;RE_RC;067;2022
null;4760;RE_CA;068;2022
null;221;RE_CD;068;2022
null;895;RE_GC;068;2022
null;6;RE_J;068;2022
null;40;RE_LU;068;2022
null;4741;RE_NOT;068;2022
null;60;RE_OC;068;2022
null;50;RE_OCD;068;2022
null;6754;RE_RC;068;2022
null;2633;RE_CA;069;2022
null;77;RE_CD;069;2022
null;682;RE_GC;069;2022
null;5;RE_J;069;2022
null;30;RE_LU;069;2022
null;972;RE_NOT;069;2022
null;5;RE_OC;069;2022
null;8;RE_OCD;069;2022
null;3068;RE_RC;069;2022
