OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;2142;RE_CA;001;2011
null;293;RE_CD;001;2011
null;193;RE_GC;001;2011
null;188;RE_J;001;2011
null;669;RE_LU;001;2011
null;4213;RE_NOT;001;2011
null;66;RE_OC;001;2011
null;235;RE_OCD;001;2011
null;8808;RE_RC;001;2011
null;7579;RE_CA;002;2011
null;963;RE_CD;002;2011
null;635;RE_GC;002;2011
null;939;RE_J;002;2011
null;2215;RE_LU;002;2011
null;16625;RE_NOT;002;2011
null;248;RE_OC;002;2011
null;682;RE_OCD;002;2011
null;29981;RE_RC;002;2011
null;10042;RE_CA;003;2011
null;1572;RE_CD;003;2011
null;1147;RE_GC;003;2011
null;429;RE_J;003;2011
null;2059;RE_LU;003;2011
null;29568;RE_NOT;003;2011
null;200;RE_OC;003;2011
null;1034;RE_OCD;003;2011
null;37460;RE_RC;003;2011
null;8170;RE_CA;004;2011
null;1363;RE_CD;004;2011
null;1034;RE_GC;004;2011
null;239;RE_J;004;2011
null;1309;RE_LU;004;2011
null;26828;RE_NOT;004;2011
null;175;RE_OC;004;2011
null;714;RE_OCD;004;2011
null;26021;RE_RC;004;2011
null;1934;RE_CA;005;2011
null;400;RE_CD;005;2011
null;188;RE_GC;005;2011
null;316;RE_J;005;2011
null;436;RE_LU;005;2011
null;4288;RE_NOT;005;2011
null;111;RE_OC;005;2011
null;248;RE_OCD;005;2011
null;7227;RE_RC;005;2011
null;3065;RE_CA;006;2011
null;572;RE_CD;006;2011
null;325;RE_GC;006;2011
null;363;RE_J;006;2011
null;590;RE_LU;006;2011
null;8164;RE_NOT;006;2011
null;132;RE_OC;006;2011
null;413;RE_OCD;006;2011
null;9682;RE_RC;006;2011
null;4511;RE_CA;007;2011
null;1197;RE_CD;007;2011
null;585;RE_GC;007;2011
null;675;RE_J;007;2011
null;868;RE_LU;007;2011
null;12398;RE_NOT;007;2011
null;307;RE_OC;007;2011
null;736;RE_OCD;007;2011
null;14348;RE_RC;007;2011
null;6504;RE_CA;008;2011
null;1723;RE_CD;008;2011
null;704;RE_GC;008;2011
null;340;RE_J;008;2011
null;1018;RE_LU;008;2011
null;16278;RE_NOT;008;2011
null;215;RE_OC;008;2011
null;878;RE_OCD;008;2011
null;20325;RE_RC;008;2011
null;5295;RE_CA;009;2011
null;993;RE_CD;009;2011
null;579;RE_GC;009;2011
null;231;RE_J;009;2011
null;893;RE_LU;009;2011
null;14796;RE_NOT;009;2011
null;226;RE_OC;009;2011
null;650;RE_OCD;009;2011
null;17349;RE_RC;009;2011
null;6711;RE_CA;010;2011
null;1466;RE_CD;010;2011
null;741;RE_GC;010;2011
null;115;RE_J;010;2011
null;1127;RE_LU;010;2011
null;20013;RE_NOT;010;2011
null;187;RE_OC;010;2011
null;773;RE_OCD;010;2011
null;21154;RE_RC;010;2011
null;12450;RE_CA;011;2011
null;1721;RE_CD;011;2011
null;1310;RE_GC;011;2011
null;584;RE_J;011;2011
null;2993;RE_LU;011;2011
null;30441;RE_NOT;011;2011
null;301;RE_OC;011;2011
null;1308;RE_OCD;011;2011
null;47416;RE_RC;011;2011
null;5281;RE_CA;012;2011
null;661;RE_CD;012;2011
null;439;RE_GC;012;2011
null;508;RE_J;012;2011
null;1599;RE_LU;012;2011
null;10734;RE_NOT;012;2011
null;145;RE_OC;012;2011
null;474;RE_OCD;012;2011
null;21393;RE_RC;012;2011
null;9073;RE_CA;013;2011
null;1594;RE_CD;013;2011
null;1104;RE_GC;013;2011
null;1249;RE_J;013;2011
null;1692;RE_LU;013;2011
null;28466;RE_NOT;013;2011
null;273;RE_OC;013;2011
null;1059;RE_OCD;013;2011
null;29249;RE_RC;013;2011
null;10941;RE_CA;014;2011
null;1618;RE_CD;014;2011
null;1329;RE_GC;014;2011
null;833;RE_J;014;2011
null;2349;RE_LU;014;2011
null;28496;RE_NOT;014;2011
null;330;RE_OC;014;2011
null;935;RE_OCD;014;2011
null;37039;RE_RC;014;2011
null;7136;RE_CA;015;2011
null;1124;RE_CD;015;2011
null;773;RE_GC;015;2011
null;164;RE_J;015;2011
null;1362;RE_LU;015;2011
null;19534;RE_NOT;015;2011
null;79;RE_OC;015;2011
null;594;RE_OCD;015;2011
null;22585;RE_RC;015;2011
null;6077;RE_CA;016;2011
null;1423;RE_CD;016;2011
null;688;RE_GC;016;2011
null;184;RE_J;016;2011
null;1801;RE_LU;016;2011
null;15114;RE_NOT;016;2011
null;123;RE_OC;016;2011
null;552;RE_OCD;016;2011
null;22031;RE_RC;016;2011
null;7372;RE_CA;017;2011
null;1655;RE_CD;017;2011
null;900;RE_GC;017;2011
null;116;RE_J;017;2011
null;2423;RE_LU;017;2011
null;18641;RE_NOT;017;2011
null;97;RE_OC;017;2011
null;488;RE_OCD;017;2011
null;24274;RE_RC;017;2011
null;8821;RE_CA;018;2011
null;1875;RE_CD;018;2011
null;861;RE_GC;018;2011
null;91;RE_J;018;2011
null;1436;RE_LU;018;2011
null;23568;RE_NOT;018;2011
null;136;RE_OC;018;2011
null;669;RE_OCD;018;2011
null;27457;RE_RC;018;2011
null;5002;RE_CA;019;2011
null;1009;RE_CD;019;2011
null;524;RE_GC;019;2011
null;88;RE_J;019;2011
null;828;RE_LU;019;2011
null;14308;RE_NOT;019;2011
null;88;RE_OC;019;2011
null;486;RE_OCD;019;2011
null;16770;RE_RC;019;2011
null;6171;RE_CA;020;2011
null;1279;RE_CD;020;2011
null;612;RE_GC;020;2011
null;91;RE_J;020;2011
null;803;RE_LU;020;2011
null;15333;RE_NOT;020;2011
null;63;RE_OC;020;2011
null;361;RE_OCD;020;2011
null;17377;RE_RC;020;2011
null;6193;RE_CA;021;2011
null;1184;RE_CD;021;2011
null;931;RE_GC;021;2011
null;69;RE_J;021;2011
null;763;RE_LU;021;2011
null;21209;RE_NOT;021;2011
null;99;RE_OC;021;2011
null;450;RE_OCD;021;2011
null;18784;RE_RC;021;2011
null;4445;RE_CA;022;2011
null;957;RE_CD;022;2011
null;424;RE_GC;022;2011
null;98;RE_J;022;2011
null;829;RE_LU;022;2011
null;12539;RE_NOT;022;2011
null;77;RE_OC;022;2011
null;342;RE_OCD;022;2011
null;17584;RE_RC;022;2011
null;1841;RE_CA;023;2011
