OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;621;RE_CA;070;2011
null;196;RE_CD;070;2011
null;31;RE_GC;070;2011
null;3;RE_J;070;2011
null;63;RE_LU;070;2011
null;3344;RE_NOT;070;2011
null;7;RE_OC;070;2011
null;39;RE_OCD;070;2011
null;13380;RE_RC;070;2011
null;8059;RE_CA;071;2011
null;1043;RE_CD;071;2011
null;88;RE_GC;071;2011
null;43;RE_J;071;2011
null;369;RE_LU;071;2011
null;17377;RE_NOT;071;2011
null;53;RE_OC;071;2011
null;138;RE_OCD;071;2011
null;13699;RE_RC;071;2011
null;464;RE_CA;072;2011
null;132;RE_CD;072;2011
null;30;RE_GC;072;2011
Q;null;RE_J;072;2011
null;52;RE_LU;072;2011
null;2070;RE_NOT;072;2011
null;31;RE_OC;072;2011
null;20;RE_OCD;072;2011
null;11185;RE_RC;072;2011
null;5187;RE_CA;073;2011
null;555;RE_CD;073;2011
null;827;RE_GC;073;2011
null;26;RE_J;073;2011
null;411;RE_LU;073;2011
null;12136;RE_NOT;073;2011
null;292;RE_OC;073;2011
null;94;RE_OCD;073;2011
null;16535;RE_RC;073;2011
null;666;RE_CA;074;2011
null;372;RE_CD;074;2011
null;44;RE_GC;074;2011
null;4;RE_J;074;2011
null;75;RE_LU;074;2011
null;2990;RE_NOT;074;2011
null;42;RE_OC;074;2011
null;49;RE_OCD;074;2011
null;18942;RE_RC;074;2011
null;9328;RE_CA;075;2011
null;3336;RE_CD;075;2011
null;762;RE_GC;075;2011
null;180;RE_J;075;2011
null;2105;RE_LU;075;2011
null;46646;RE_NOT;075;2011
null;457;RE_OC;075;2011
null;1017;RE_OCD;075;2011
null;78826;RE_RC;075;2011
null;4964;RE_CA;076;2011
null;213;RE_CD;076;2011
null;73;RE_GC;076;2011
null;6;RE_J;076;2011
null;413;RE_LU;076;2011
null;12858;RE_NOT;076;2011
null;41;RE_OC;076;2011
null;74;RE_OCD;076;2011
null;11493;RE_RC;076;2011
null;476;RE_CA;070;2022
null;291;RE_CD;070;2022
null;46;RE_GC;070;2022
Q;null;RE_J;070;2022
null;52;RE_LU;070;2022
null;2914;RE_NOT;070;2022
null;8;RE_OC;070;2022
null;31;RE_OCD;070;2022
null;7934;RE_RC;070;2022
null;5673;RE_CA;071;2022
null;1027;RE_CD;071;2022
null;170;RE_GC;071;2022
null;26;RE_J;071;2022
null;326;RE_LU;071;2022
null;13857;RE_NOT;071;2022
null;40;RE_OC;071;2022
null;113;RE_OCD;071;2022
null;9200;RE_RC;071;2022
null;413;RE_CA;072;2022
null;255;RE_CD;072;2022
null;49;RE_GC;072;2022
null;6;RE_J;072;2022
null;30;RE_LU;072;2022
null;2460;RE_NOT;072;2022
null;13;RE_OC;072;2022
null;23;RE_OCD;072;2022
null;6581;RE_RC;072;2022
null;3220;RE_CA;073;2022
null;484;RE_CD;073;2022
null;584;RE_GC;073;2022
null;13;RE_J;073;2022
null;264;RE_LU;073;2022
null;9453;RE_NOT;073;2022
null;237;RE_OC;073;2022
null;83;RE_OCD;073;2022
null;9577;RE_RC;073;2022
null;531;RE_CA;074;2022
null;448;RE_CD;074;2022
null;68;RE_GC;074;2022
Q;null;RE_J;074;2022
null;78;RE_LU;074;2022
null;3259;RE_NOT;074;2022
null;41;RE_OC;074;2022
null;44;RE_OCD;074;2022
null;12292;RE_RC;074;2022
null;7816;RE_CA;075;2022
null;3309;RE_CD;075;2022
null;906;RE_GC;075;2022
null;133;RE_J;075;2022
null;1827;RE_LU;075;2022
null;38837;RE_NOT;075;2022
null;425;RE_OC;075;2022
null;886;RE_OCD;075;2022
null;55276;RE_RC;075;2022
null;3705;RE_CA;076;2022
null;265;RE_CD;076;2022
null;89;RE_GC;076;2022
null;13;RE_J;076;2022
null;392;RE_LU;076;2022
null;9210;RE_NOT;076;2022
null;44;RE_OC;076;2022
null;69;RE_OCD;076;2022
null;7616;RE_RC;076;2022
