OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;5993;RE_CA;077;2011
null;336;RE_CD;077;2011
null;147;RE_GC;077;2011
null;8;RE_J;077;2011
null;404;RE_LU;077;2011
null;5524;RE_NOT;077;2011
null;22;RE_OC;077;2011
null;100;RE_OCD;077;2011
null;12645;RE_RC;077;2011
null;5240;RE_CA;078;2011
null;933;RE_CD;078;2011
null;405;RE_GC;078;2011
null;31;RE_J;078;2011
null;1043;RE_LU;078;2011
null;29757;RE_NOT;078;2011
null;226;RE_OC;078;2011
null;340;RE_OCD;078;2011
null;27992;RE_RC;078;2011
null;3506;RE_CA;079;2011
null;109;RE_CD;079;2011
null;29;RE_GC;079;2011
null;3;RE_J;079;2011
null;563;RE_LU;079;2011
null;2613;RE_NOT;079;2011
null;7;RE_OC;079;2011
null;27;RE_OCD;079;2011
null;9181;RE_RC;079;2011
null;3314;RE_CA;080;2011
null;294;RE_CD;080;2011
null;110;RE_GC;080;2011
null;22;RE_J;080;2011
null;233;RE_LU;080;2011
null;5547;RE_NOT;080;2011
null;12;RE_OC;080;2011
null;93;RE_OCD;080;2011
null;10971;RE_RC;080;2011
null;3104;RE_CA;081;2011
null;332;RE_CD;081;2011
null;112;RE_GC;081;2011
null;22;RE_J;081;2011
null;721;RE_LU;081;2011
null;5692;RE_NOT;081;2011
null;15;RE_OC;081;2011
null;86;RE_OCD;081;2011
null;9104;RE_RC;081;2011
null;3213;RE_CA;082;2011
null;302;RE_CD;082;2011
null;66;RE_GC;082;2011
null;10;RE_J;082;2011
null;2299;RE_LU;082;2011
null;5263;RE_NOT;082;2011
null;22;RE_OC;082;2011
null;77;RE_OCD;082;2011
null;13234;RE_RC;082;2011
null;5000;RE_CA;084;2011
null;256;RE_CD;084;2011
null;37;RE_GC;084;2011
null;3;RE_J;084;2011
null;242;RE_LU;084;2011
null;3693;RE_NOT;084;2011
null;8;RE_OC;084;2011
null;37;RE_OCD;084;2011
null;11707;RE_RC;084;2011
null;16784;RE_CA;085;2011
null;1585;RE_CD;085;2011
null;386;RE_GC;085;2011
null;49;RE_J;085;2011
null;1638;RE_LU;085;2011
null;31313;RE_NOT;085;2011
null;106;RE_OC;085;2011
null;469;RE_OCD;085;2011
null;56049;RE_RC;085;2011
null;5122;RE_CA;077;2022
null;382;RE_CD;077;2022
null;196;RE_GC;077;2022
null;13;RE_J;077;2022
null;411;RE_LU;077;2022
null;5487;RE_NOT;077;2022
null;26;RE_OC;077;2022
null;92;RE_OCD;077;2022
null;9477;RE_RC;077;2022
null;4319;RE_CA;078;2022
null;1000;RE_CD;078;2022
null;543;RE_GC;078;2022
null;22;RE_J;078;2022
null;882;RE_LU;078;2022
null;25436;RE_NOT;078;2022
null;255;RE_OC;078;2022
null;279;RE_OCD;078;2022
null;17656;RE_RC;078;2022
null;2634;RE_CA;079;2022
null;99;RE_CD;079;2022
null;44;RE_GC;079;2022
Q;null;RE_J;079;2022
null;383;RE_LU;079;2022
null;2842;RE_NOT;079;2022
null;8;RE_OC;079;2022
null;19;RE_OCD;079;2022
null;5924;RE_RC;079;2022
null;3662;RE_CA;080;2022
null;525;RE_CD;080;2022
null;177;RE_GC;080;2022
null;21;RE_J;080;2022
null;338;RE_LU;080;2022
null;6579;RE_NOT;080;2022
null;28;RE_OC;080;2022
null;109;RE_OCD;080;2022
null;9469;RE_RC;080;2022
null;2873;RE_CA;081;2022
null;432;RE_CD;081;2022
null;152;RE_GC;081;2022
null;12;RE_J;081;2022
null;650;RE_LU;081;2022
null;5421;RE_NOT;081;2022
null;49;RE_OC;081;2022
null;97;RE_OCD;081;2022
null;7118;RE_RC;081;2022
null;2812;RE_CA;082;2022
null;348;RE_CD;082;2022
null;79;RE_GC;082;2022
null;3;RE_J;082;2022
null;1847;RE_LU;082;2022
null;5295;RE_NOT;082;2022
null;36;RE_OC;082;2022
null;56;RE_OCD;082;2022
null;9265;RE_RC;082;2022
null;3720;RE_CA;084;2022
null;214;RE_CD;084;2022
null;42;RE_GC;084;2022
null;11;RE_J;084;2022
null;172;RE_LU;084;2022
null;4140;RE_NOT;084;2022
null;8;RE_OC;084;2022
null;23;RE_OCD;084;2022
null;8385;RE_RC;084;2022
null;13406;RE_CA;085;2022
null;1830;RE_CD;085;2022
null;507;RE_GC;085;2022
null;53;RE_J;085;2022
null;1449;RE_LU;085;2022
null;26954;RE_NOT;085;2022
null;136;RE_OC;085;2022
null;326;RE_OCD;085;2022
null;39567;RE_RC;085;2022
