OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;388;RE_CA;086;2011
null;135;RE_CD;086;2011
null;34;RE_GC;086;2011
null;4;RE_J;086;2011
null;1987;RE_LU;086;2011
null;1323;RE_NOT;086;2011
null;4;RE_OC;086;2011
null;29;RE_OCD;086;2011
null;22664;RE_RC;086;2011
null;7844;RE_CA;087;2011
null;1377;RE_CD;087;2011
null;525;RE_GC;087;2011
null;80;RE_J;087;2011
null;8349;RE_LU;087;2011
null;23525;RE_NOT;087;2011
null;57;RE_OC;087;2011
null;486;RE_OCD;087;2011
null;92361;RE_RC;087;2011
null;257;RE_CA;088;2011
null;139;RE_CD;088;2011
null;31;RE_GC;088;2011
null;3;RE_J;088;2011
null;1300;RE_LU;088;2011
null;684;RE_NOT;088;2011
Q;null;RE_OC;088;2011
null;18;RE_OCD;088;2011
null;17671;RE_RC;088;2011
null;2018;RE_CA;089;2011
null;355;RE_CD;089;2011
null;163;RE_GC;089;2011
null;16;RE_J;089;2011
null;1653;RE_LU;089;2011
null;8888;RE_NOT;089;2011
null;30;RE_OC;089;2011
null;110;RE_OCD;089;2011
null;39705;RE_RC;089;2011
null;1177;RE_CA;090;2011
null;112;RE_CD;090;2011
null;36;RE_GC;090;2011
null;7;RE_J;090;2011
null;599;RE_LU;090;2011
null;879;RE_NOT;090;2011
Q;null;RE_OC;090;2011
null;27;RE_OCD;090;2011
null;8656;RE_RC;090;2011
null;2540;RE_CA;091;2011
null;769;RE_CD;091;2011
null;258;RE_GC;091;2011
null;32;RE_J;091;2011
null;4543;RE_LU;091;2011
null;9798;RE_NOT;091;2011
null;67;RE_OC;091;2011
null;256;RE_OCD;091;2011
null;54939;RE_RC;091;2011
null;517;RE_CA;092;2011
null;123;RE_CD;092;2011
null;19;RE_GC;092;2011
null;4;RE_J;092;2011
null;2631;RE_LU;092;2011
null;765;RE_NOT;092;2011
null;4;RE_OC;092;2011
null;16;RE_OCD;092;2011
null;7200;RE_RC;092;2011
null;516;RE_CA;086;2022
null;187;RE_CD;086;2022
null;82;RE_GC;086;2022
Q;null;RE_J;086;2022
null;1563;RE_LU;086;2022
null;1795;RE_NOT;086;2022
null;14;RE_OC;086;2022
null;21;RE_OCD;086;2022
null;16693;RE_RC;086;2022
null;8708;RE_CA;087;2022
null;2040;RE_CD;087;2022
null;880;RE_GC;087;2022
null;86;RE_J;087;2022
null;7627;RE_LU;087;2022
null;22807;RE_NOT;087;2022
null;168;RE_OC;087;2022
null;434;RE_OCD;087;2022
null;72201;RE_RC;087;2022
null;367;RE_CA;088;2022
null;182;RE_CD;088;2022
null;57;RE_GC;088;2022
null;3;RE_J;088;2022
null;1118;RE_LU;088;2022
null;1109;RE_NOT;088;2022
null;10;RE_OC;088;2022
null;18;RE_OCD;088;2022
null;13922;RE_RC;088;2022
null;2201;RE_CA;089;2022
null;793;RE_CD;089;2022
null;330;RE_GC;089;2022
null;21;RE_J;089;2022
null;1437;RE_LU;089;2022
null;10414;RE_NOT;089;2022
null;100;RE_OC;089;2022
null;115;RE_OCD;089;2022
null;30006;RE_RC;089;2022
null;944;RE_CA;090;2022
null;152;RE_CD;090;2022
null;59;RE_GC;090;2022
null;4;RE_J;090;2022
null;502;RE_LU;090;2022
null;1130;RE_NOT;090;2022
null;8;RE_OC;090;2022
null;22;RE_OCD;090;2022
null;6763;RE_RC;090;2022
null;3085;RE_CA;091;2022
null;961;RE_CD;091;2022
null;387;RE_GC;091;2022
null;19;RE_J;091;2022
null;4451;RE_LU;091;2022
null;9041;RE_NOT;091;2022
null;76;RE_OC;091;2022
null;212;RE_OCD;091;2022
null;42422;RE_RC;091;2022
null;488;RE_CA;092;2022
null;113;RE_CD;092;2022
null;48;RE_GC;092;2022
null;3;RE_J;092;2022
null;1998;RE_LU;092;2022
null;1237;RE_NOT;092;2022
null;9;RE_OC;092;2022
null;20;RE_OCD;092;2022
null;5728;RE_RC;092;2022
