OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;5562;RE_CA;093;2011
null;339;RE_CD;093;2011
null;164;RE_GC;093;2011
Q;null;RE_J;093;2011
null;17;RE_LU;093;2011
null;11877;RE_NOT;093;2011
null;11;RE_OC;093;2011
null;56;RE_OCD;093;2011
null;4674;RE_RC;093;2011
null;19399;RE_CA;094;2011
null;619;RE_CD;094;2011
null;484;RE_GC;094;2011
null;8;RE_J;094;2011
null;86;RE_LU;094;2011
null;9965;RE_NOT;094;2011
null;618;RE_OC;094;2011
null;48;RE_OCD;094;2011
null;2996;RE_RC;094;2011
null;56252;RE_CA;095;2011
null;3981;RE_CD;095;2011
null;11339;RE_GC;095;2011
null;166;RE_J;095;2011
null;820;RE_LU;095;2011
null;62833;RE_NOT;095;2011
null;159;RE_OC;095;2011
null;1265;RE_OCD;095;2011
null;24422;RE_RC;095;2011
null;18989;RE_CA;096;2011
null;493;RE_CD;096;2011
null;2537;RE_GC;096;2011
null;7;RE_J;096;2011
null;23;RE_LU;096;2011
null;8838;RE_NOT;096;2011
null;21;RE_OC;096;2011
null;84;RE_OCD;096;2011
null;2872;RE_RC;096;2011
null;8822;RE_CA;097;2011
null;755;RE_CD;097;2011
null;7087;RE_GC;097;2011
null;0;RE_J;097;2011
null;22;RE_LU;097;2011
null;11993;RE_NOT;097;2011
null;3;RE_OC;097;2011
null;66;RE_OCD;097;2011
null;1692;RE_RC;097;2011
null;6972;RE_CA;098;2011
null;994;RE_CD;098;2011
null;1049;RE_GC;098;2011
null;0;RE_J;098;2011
null;21;RE_LU;098;2011
null;6686;RE_NOT;098;2011
null;4;RE_OC;098;2011
null;42;RE_OCD;098;2011
null;1413;RE_RC;098;2011
null;6463;RE_CA;099;2011
null;201;RE_CD;099;2011
null;555;RE_GC;099;2011
Q;null;RE_J;099;2011
null;21;RE_LU;099;2011
null;9052;RE_NOT;099;2011
null;9;RE_OC;099;2011
null;35;RE_OCD;099;2011
null;6141;RE_RC;099;2011
null;11291;RE_CA;100;2011
null;339;RE_CD;100;2011
null;517;RE_GC;100;2011
null;12;RE_J;100;2011
null;51;RE_LU;100;2011
null;17623;RE_NOT;100;2011
null;11;RE_OC;100;2011
null;77;RE_OCD;100;2011
null;2607;RE_RC;100;2011
null;8242;RE_CA;101;2011
null;384;RE_CD;101;2011
null;8485;RE_GC;101;2011
null;0;RE_J;101;2011
null;9;RE_LU;101;2011
null;2861;RE_NOT;101;2011
null;9;RE_OC;101;2011
null;44;RE_OCD;101;2011
null;4191;RE_RC;101;2011
null;16521;RE_CA;102;2011
null;280;RE_CD;102;2011
null;142;RE_GC;102;2011
Q;null;RE_J;102;2011
null;16;RE_LU;102;2011
null;11689;RE_NOT;102;2011
null;17;RE_OC;102;2011
null;31;RE_OCD;102;2011
null;2689;RE_RC;102;2011
null;4404;RE_CA;093;2022
null;299;RE_CD;093;2022
