OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;1274;RE_CA;103;2011
null;85;RE_CD;103;2011
null;28;RE_GC;103;2011
Q;null;RE_J;103;2011
null;20;RE_LU;103;2011
null;1146;RE_NOT;103;2011
null;0;RE_OC;103;2011
null;9;RE_OCD;103;2011
null;4218;RE_RC;103;2011
null;5241;RE_CA;104;2011
null;1105;RE_CD;104;2011
null;441;RE_GC;104;2011
null;24;RE_J;104;2011
null;281;RE_LU;104;2011
null;15362;RE_NOT;104;2011
null;34;RE_OC;104;2011
null;338;RE_OCD;104;2011
null;39948;RE_RC;104;2011
null;1539;RE_CA;105;2011
null;563;RE_CD;105;2011
null;113;RE_GC;105;2011
null;4;RE_J;105;2011
null;45;RE_LU;105;2011
null;3896;RE_NOT;105;2011
null;20;RE_OC;105;2011
null;24;RE_OCD;105;2011
null;15694;RE_RC;105;2011
null;2648;RE_CA;106;2011
null;885;RE_CD;106;2011
null;224;RE_GC;106;2011
null;10;RE_J;106;2011
null;214;RE_LU;106;2011
null;11529;RE_NOT;106;2011
null;28;RE_OC;106;2011
null;148;RE_OCD;106;2011
null;38322;RE_RC;106;2011
null;1628;RE_CA;107;2011
null;537;RE_CD;107;2011
null;160;RE_GC;107;2011
null;16;RE_J;107;2011
null;398;RE_LU;107;2011
null;7239;RE_NOT;107;2011
null;8;RE_OC;107;2011
null;81;RE_OCD;107;2011
null;29788;RE_RC;107;2011
null;1932;RE_CA;108;2011
null;411;RE_CD;108;2011
null;64;RE_GC;108;2011
null;5;RE_J;108;2011
null;66;RE_LU;108;2011
null;5253;RE_NOT;108;2011
null;9;RE_OC;108;2011
null;29;RE_OCD;108;2011
null;19045;RE_RC;108;2011
null;467;RE_CA;109;2011
null;474;RE_CD;109;2011
null;68;RE_GC;109;2011
null;3;RE_J;109;2011
null;60;RE_LU;109;2011
null;2066;RE_NOT;109;2011
null;9;RE_OC;109;2011
null;33;RE_OCD;109;2011
null;13870;RE_RC;109;2011
null;890;RE_CA;103;2022
null;84;RE_CD;103;2022
null;54;RE_GC;103;2022
Q;null;RE_J;103;2022
null;18;RE_LU;103;2022
null;952;RE_NOT;103;2022
null;3;RE_OC;103;2022
null;11;RE_OCD;103;2022
null;2970;RE_RC;103;2022
null;4775;RE_CA;104;2022
null;1463;RE_CD;104;2022
null;525;RE_GC;104;2022
null;17;RE_J;104;2022
null;242;RE_LU;104;2022
null;11299;RE_NOT;104;2022
null;125;RE_OC;104;2022
null;248;RE_OCD;104;2022
null;29336;RE_RC;104;2022
null;1278;RE_CA;105;2022
null;610;RE_CD;105;2022
null;108;RE_GC;105;2022
null;4;RE_J;105;2022
null;39;RE_LU;105;2022
null;4169;RE_NOT;105;2022
null;14;RE_OC;105;2022
null;37;RE_OCD;105;2022
null;10515;RE_RC;105;2022
null;2116;RE_CA;106;2022
null;1147;RE_CD;106;2022
null;287;RE_GC;106;2022
null;17;RE_J;106;2022
null;179;RE_LU;106;2022
null;8912;RE_NOT;106;2022
null;49;RE_OC;106;2022
null;160;RE_OCD;106;2022
null;25313;RE_RC;106;2022
null;1518;RE_CA;107;2022
null;773;RE_CD;107;2022
null;178;RE_GC;107;2022
null;12;RE_J;107;2022
null;328;RE_LU;107;2022
null;7019;RE_NOT;107;2022
null;35;RE_OC;107;2022
null;86;RE_OCD;107;2022
null;19448;RE_RC;107;2022
null;1418;RE_CA;108;2022
null;545;RE_CD;108;2022
null;88;RE_GC;108;2022
null;5;RE_J;108;2022
null;33;RE_LU;108;2022
null;5946;RE_NOT;108;2022
null;7;RE_OC;108;2022
null;24;RE_OCD;108;2022
null;12759;RE_RC;108;2022
null;462;RE_CA;109;2022
null;332;RE_CD;109;2022
null;80;RE_GC;109;2022
null;9;RE_J;109;2022
null;66;RE_LU;109;2022
null;2117;RE_NOT;109;2022
null;8;RE_OC;109;2022
null;36;RE_OCD;109;2022
null;9662;RE_RC;109;2022
