OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;1751;RE_CA;161;2011
null;374;RE_CD;161;2011
null;61;RE_GC;161;2011
null;8;RE_J;161;2011
null;56;RE_LU;161;2011
null;3960;RE_NOT;161;2011
null;9;RE_OC;161;2011
null;81;RE_OCD;161;2011
null;19370;RE_RC;161;2011
null;1557;RE_CA;162;2011
null;447;RE_CD;162;2011
null;122;RE_GC;162;2011
null;7;RE_J;162;2011
null;70;RE_LU;162;2011
null;6562;RE_NOT;162;2011
null;18;RE_OC;162;2011
null;106;RE_OCD;162;2011
null;29029;RE_RC;162;2011
null;9969;RE_CA;163;2011
null;457;RE_CD;163;2011
null;78;RE_GC;163;2011
null;11;RE_J;163;2011
null;48;RE_LU;163;2011
null;16733;RE_NOT;163;2011
null;19;RE_OC;163;2011
null;76;RE_OCD;163;2011
null;5816;RE_RC;163;2011
null;4010;RE_CA;164;2011
null;165;RE_CD;164;2011
null;30;RE_GC;164;2011
Q;null;RE_J;164;2011
null;19;RE_LU;164;2011
null;7602;RE_NOT;164;2011
null;5;RE_OC;164;2011
null;18;RE_OCD;164;2011
null;4712;RE_RC;164;2011
null;4281;RE_CA;165;2011
null;222;RE_CD;165;2011
null;48;RE_GC;165;2011
null;8;RE_J;165;2011
null;220;RE_LU;165;2011
null;11264;RE_NOT;165;2011
null;8;RE_OC;165;2011
null;111;RE_OCD;165;2011
null;10055;RE_RC;165;2011
null;5688;RE_CA;166;2011
null;143;RE_CD;166;2011
null;34;RE_GC;166;2011
Q;null;RE_J;166;2011
null;103;RE_LU;166;2011
null;12608;RE_NOT;166;2011
null;6;RE_OC;166;2011
null;34;RE_OCD;166;2011
null;2575;RE_RC;166;2011
null;7721;RE_CA;167;2011
null;979;RE_CD;167;2011
null;589;RE_GC;167;2011
null;46;RE_J;167;2011
null;525;RE_LU;167;2011
null;37488;RE_NOT;167;2011
null;75;RE_OC;167;2011
null;327;RE_OCD;167;2011
null;35678;RE_RC;167;2011
null;4211;RE_CA;168;2011
null;204;RE_CD;168;2011
null;71;RE_GC;168;2011
null;7;RE_J;168;2011
null;37;RE_LU;168;2011
null;4192;RE_NOT;168;2011
null;9;RE_OC;168;2011
null;28;RE_OCD;168;2011
null;5318;RE_RC;168;2011
null;3780;RE_CA;169;2011
null;245;RE_CD;169;2011
null;73;RE_GC;169;2011
Q;null;RE_J;169;2011
null;49;RE_LU;169;2011
null;12489;RE_NOT;169;2011
null;4;RE_OC;169;2011
null;51;RE_OCD;169;2011
null;10655;RE_RC;169;2011
null;1328;RE_CA;161;2022
null;375;RE_CD;161;2022
null;99;RE_GC;161;2022
null;4;RE_J;161;2022
null;47;RE_LU;161;2022
null;3299;RE_NOT;161;2022
null;7;RE_OC;161;2022
null;56;RE_OCD;161;2022
null;12271;RE_RC;161;2022
null;1644;RE_CA;162;2022
null;685;RE_CD;162;2022
null;230;RE_GC;162;2022
null;12;RE_J;162;2022
null;74;RE_LU;162;2022
null;5314;RE_NOT;162;2022
null;145;RE_OC;162;2022
null;94;RE_OCD;162;2022
null;19729;RE_RC;162;2022
null;7009;RE_CA;163;2022
null;447;RE_CD;163;2022
null;94;RE_GC;163;2022
null;11;RE_J;163;2022
null;33;RE_LU;163;2022
null;13301;RE_NOT;163;2022
null;5;RE_OC;163;2022
null;46;RE_OCD;163;2022
null;3562;RE_RC;163;2022
null;2651;RE_CA;164;2022
null;221;RE_CD;164;2022
null;34;RE_GC;164;2022
null;5;RE_J;164;2022
null;11;RE_LU;164;2022
null;7115;RE_NOT;164;2022
null;3;RE_OC;164;2022
null;10;RE_OCD;164;2022
null;2116;RE_RC;164;2022
null;2812;RE_CA;165;2022
null;280;RE_CD;165;2022
null;73;RE_GC;165;2022
Q;null;RE_J;165;2022
null;156;RE_LU;165;2022
null;8743;RE_NOT;165;2022
null;20;RE_OC;165;2022
null;52;RE_OCD;165;2022
null;5982;RE_RC;165;2022
null;3984;RE_CA;166;2022
null;128;RE_CD;166;2022
null;54;RE_GC;166;2022
Q;null;RE_J;166;2022
null;97;RE_LU;166;2022
null;10243;RE_NOT;166;2022
null;11;RE_OC;166;2022
null;43;RE_OCD;166;2022
null;1735;RE_RC;166;2022
null;6045;RE_CA;167;2022
null;1147;RE_CD;167;2022
null;643;RE_GC;167;2022
null;32;RE_J;167;2022
null;523;RE_LU;167;2022
null;29437;RE_NOT;167;2022
null;70;RE_OC;167;2022
null;261;RE_OCD;167;2022
null;23805;RE_RC;167;2022
null;3237;RE_CA;168;2022
null;179;RE_CD;168;2022
null;96;RE_GC;168;2022
null;5;RE_J;168;2022
null;42;RE_LU;168;2022
null;4021;RE_NOT;168;2022
null;8;RE_OC;168;2022
null;20;RE_OCD;168;2022
null;3378;RE_RC;168;2022
null;2651;RE_CA;169;2022
null;218;RE_CD;169;2022
null;115;RE_GC;169;2022
null;7;RE_J;169;2022
null;48;RE_LU;169;2022
null;9658;RE_NOT;169;2022
null;5;RE_OC;169;2022
null;53;RE_OCD;169;2022
null;5830;RE_RC;169;2022
