OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;6018;RE_CA;110;2011
null;1060;RE_CD;110;2011
null;396;RE_GC;110;2011
null;29;RE_J;110;2011
null;555;RE_LU;110;2011
null;15527;RE_NOT;110;2011
null;51;RE_OC;110;2011
null;283;RE_OCD;110;2011
null;42524;RE_RC;110;2011
null;3145;RE_CA;111;2011
null;164;RE_CD;111;2011
null;47;RE_GC;111;2011
null;5;RE_J;111;2011
null;1013;RE_LU;111;2011
null;1768;RE_NOT;111;2011
null;3;RE_OC;111;2011
null;18;RE_OCD;111;2011
null;9010;RE_RC;111;2011
null;7013;RE_CA;112;2011
null;319;RE_CD;112;2011
null;141;RE_GC;112;2011
null;6;RE_J;112;2011
null;427;RE_LU;112;2011
null;6937;RE_NOT;112;2011
null;11;RE_OC;112;2011
null;91;RE_OCD;112;2011
null;13489;RE_RC;112;2011
null;2284;RE_CA;113;2011
null;338;RE_CD;113;2011
null;147;RE_GC;113;2011
null;7;RE_J;113;2011
null;1277;RE_LU;113;2011
null;7297;RE_NOT;113;2011
null;12;RE_OC;113;2011
null;41;RE_OCD;113;2011
null;7375;RE_RC;113;2011
null;6497;RE_CA;114;2011
null;304;RE_CD;114;2011
null;121;RE_GC;114;2011
null;14;RE_J;114;2011
null;424;RE_LU;114;2011
null;7027;RE_NOT;114;2011
null;14;RE_OC;114;2011
null;101;RE_OCD;114;2011
null;13532;RE_RC;114;2011
null;5560;RE_CA;115;2011
null;904;RE_CD;115;2011
null;375;RE_GC;115;2011
null;25;RE_J;115;2011
null;809;RE_LU;115;2011
null;27090;RE_NOT;115;2011
null;26;RE_OC;115;2011
null;275;RE_OCD;115;2011
null;24726;RE_RC;115;2011
null;5096;RE_CA;110;2022
null;1178;RE_CD;110;2022
null;444;RE_GC;110;2022
null;33;RE_J;110;2022
null;439;RE_LU;110;2022
null;14479;RE_NOT;110;2022
null;76;RE_OC;110;2022
null;287;RE_OCD;110;2022
null;29223;RE_RC;110;2022
null;2532;RE_CA;111;2022
null;141;RE_CD;111;2022
null;54;RE_GC;111;2022
Q;null;RE_J;111;2022
null;780;RE_LU;111;2022
null;2220;RE_NOT;111;2022
null;6;RE_OC;111;2022
null;26;RE_OCD;111;2022
null;6245;RE_RC;111;2022
null;5881;RE_CA;112;2022
null;317;RE_CD;112;2022
null;170;RE_GC;112;2022
null;4;RE_J;112;2022
null;313;RE_LU;112;2022
null;6451;RE_NOT;112;2022
null;18;RE_OC;112;2022
null;62;RE_OCD;112;2022
null;9162;RE_RC;112;2022
null;1859;RE_CA;113;2022
null;343;RE_CD;113;2022
null;116;RE_GC;113;2022
null;3;RE_J;113;2022
null;879;RE_LU;113;2022
null;6309;RE_NOT;113;2022
null;21;RE_OC;113;2022
null;50;RE_OCD;113;2022
null;4554;RE_RC;113;2022
null;5226;RE_CA;114;2022
null;365;RE_CD;114;2022
null;176;RE_GC;114;2022
null;26;RE_J;114;2022
null;361;RE_LU;114;2022
null;6843;RE_NOT;114;2022
null;16;RE_OC;114;2022
null;78;RE_OCD;114;2022
null;9904;RE_RC;114;2022
null;5169;RE_CA;115;2022
null;938;RE_CD;115;2022
null;476;RE_GC;115;2022
null;23;RE_J;115;2022
null;633;RE_LU;115;2022
null;21515;RE_NOT;115;2022
null;82;RE_OC;115;2022
null;210;RE_OCD;115;2022
null;17237;RE_RC;115;2022
