OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;681;RE_CA;116;2011
null;518;RE_CD;116;2011
null;45;RE_GC;116;2011
null;22;RE_J;116;2011
null;2561;RE_LU;116;2011
null;2384;RE_NOT;116;2011
null;6;RE_OC;116;2011
null;64;RE_OCD;116;2011
null;24781;RE_RC;116;2011
null;398;RE_CA;117;2011
null;230;RE_CD;117;2011
null;53;RE_GC;117;2011
Q;null;RE_J;117;2011
null;189;RE_LU;117;2011
null;4687;RE_NOT;117;2011
null;7;RE_OC;117;2011
null;45;RE_OCD;117;2011
null;10400;RE_RC;117;2011
null;467;RE_CA;118;2011
null;550;RE_CD;118;2011
null;79;RE_GC;118;2011
null;8;RE_J;118;2011
null;2014;RE_LU;118;2011
null;2943;RE_NOT;118;2011
null;8;RE_OC;118;2011
null;54;RE_OCD;118;2011
null;18513;RE_RC;118;2011
null;1339;RE_CA;119;2011
null;280;RE_CD;119;2011
null;77;RE_GC;119;2011
null;6;RE_J;119;2011
null;1749;RE_LU;119;2011
null;1911;RE_NOT;119;2011
null;15;RE_OC;119;2011
null;50;RE_OCD;119;2011
null;13567;RE_RC;119;2011
null;1136;RE_CA;120;2011
null;1266;RE_CD;120;2011
null;118;RE_GC;120;2011
null;19;RE_J;120;2011
null;1182;RE_LU;120;2011
null;13432;RE_NOT;120;2011
null;6;RE_OC;120;2011
null;177;RE_OCD;120;2011
null;30846;RE_RC;120;2011
null;146;RE_CA;121;2011
null;319;RE_CD;121;2011
null;17;RE_GC;121;2011
Q;null;RE_J;121;2011
null;163;RE_LU;121;2011
null;1100;RE_NOT;121;2011
null;3;RE_OC;121;2011
null;15;RE_OCD;121;2011
null;14134;RE_RC;121;2011
null;638;RE_CA;116;2022
null;570;RE_CD;116;2022
null;68;RE_GC;116;2022
null;19;RE_J;116;2022
null;1949;RE_LU;116;2022
null;2565;RE_NOT;116;2022
null;12;RE_OC;116;2022
null;68;RE_OCD;116;2022
null;18455;RE_RC;116;2022
null;315;RE_CA;117;2022
null;282;RE_CD;117;2022
null;45;RE_GC;117;2022
Q;null;RE_J;117;2022
null;260;RE_LU;117;2022
null;3579;RE_NOT;117;2022
null;13;RE_OC;117;2022
null;24;RE_OCD;117;2022
null;6435;RE_RC;117;2022
null;494;RE_CA;118;2022
null;644;RE_CD;118;2022
null;103;RE_GC;118;2022
null;8;RE_J;118;2022
null;1535;RE_LU;118;2022
null;2895;RE_NOT;118;2022
null;7;RE_OC;118;2022
null;62;RE_OCD;118;2022
null;12906;RE_RC;118;2022
null;1222;RE_CA;119;2022
null;356;RE_CD;119;2022
null;138;RE_GC;119;2022
null;5;RE_J;119;2022
null;1389;RE_LU;119;2022
null;2305;RE_NOT;119;2022
null;10;RE_OC;119;2022
null;57;RE_OCD;119;2022
null;10069;RE_RC;119;2022
null;815;RE_CA;120;2022
null;1506;RE_CD;120;2022
null;139;RE_GC;120;2022
null;16;RE_J;120;2022
null;903;RE_LU;120;2022
null;9748;RE_NOT;120;2022
null;9;RE_OC;120;2022
null;148;RE_OCD;120;2022
null;19518;RE_RC;120;2022
null;130;RE_CA;121;2022
null;437;RE_CD;121;2022
null;30;RE_GC;121;2022
null;5;RE_J;121;2022
null;114;RE_LU;121;2022
null;1242;RE_NOT;121;2022
null;8;RE_OC;121;2022
null;16;RE_OCD;121;2022
null;10136;RE_RC;121;2022
