OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;1596;RE_CA;122;2011
null;583;RE_CD;122;2011
null;122;RE_GC;122;2011
null;8;RE_J;122;2011
null;4020;RE_LU;122;2011
null;2766;RE_NOT;122;2011
null;8;RE_OC;122;2011
null;87;RE_OCD;122;2011
null;20268;RE_RC;122;2011
null;9708;RE_CA;123;2011
null;1395;RE_CD;123;2011
null;904;RE_GC;123;2011
null;164;RE_J;123;2011
null;1160;RE_LU;123;2011
null;16674;RE_NOT;123;2011
null;123;RE_OC;123;2011
null;539;RE_OCD;123;2011
null;28763;RE_RC;123;2011
null;10632;RE_CA;124;2011
null;958;RE_CD;124;2011
null;268;RE_GC;124;2011
null;27;RE_J;124;2011
null;3987;RE_LU;124;2011
null;15085;RE_NOT;124;2011
null;55;RE_OC;124;2011
null;217;RE_OCD;124;2011
null;31892;RE_RC;124;2011
null;4579;RE_CA;125;2011
null;570;RE_CD;125;2011
null;203;RE_GC;125;2011
null;24;RE_J;125;2011
null;948;RE_LU;125;2011
null;6607;RE_NOT;125;2011
null;44;RE_OC;125;2011
null;75;RE_OCD;125;2011
null;23568;RE_RC;125;2011
null;7806;RE_CA;126;2011
null;1278;RE_CD;126;2011
null;701;RE_GC;126;2011
null;104;RE_J;126;2011
null;1787;RE_LU;126;2011
null;17759;RE_NOT;126;2011
null;82;RE_OC;126;2011
null;403;RE_OCD;126;2011
null;22868;RE_RC;126;2011
null;10218;RE_CA;127;2011
null;2174;RE_CD;127;2011
null;1026;RE_GC;127;2011
null;108;RE_J;127;2011
null;1375;RE_LU;127;2011
null;27215;RE_NOT;127;2011
null;239;RE_OC;127;2011
null;608;RE_OCD;127;2011
null;35197;RE_RC;127;2011
null;14691;RE_CA;128;2011
null;3348;RE_CD;128;2011
null;1128;RE_GC;128;2011
null;110;RE_J;128;2011
null;3871;RE_LU;128;2011
null;25364;RE_NOT;128;2011
null;133;RE_OC;128;2011
null;653;RE_OCD;128;2011
null;49899;RE_RC;128;2011
null;6383;RE_CA;129;2011
null;1040;RE_CD;129;2011
null;442;RE_GC;129;2011
null;19;RE_J;129;2011
null;291;RE_LU;129;2011
null;8199;RE_NOT;129;2011
null;31;RE_OC;129;2011
null;161;RE_OCD;129;2011
null;11425;RE_RC;129;2011
null;11196;RE_CA;130;2011
null;1560;RE_CD;130;2011
null;440;RE_GC;130;2011
null;26;RE_J;130;2011
null;5552;RE_LU;130;2011
null;11696;RE_NOT;130;2011
null;56;RE_OC;130;2011
null;208;RE_OCD;130;2011
null;15387;RE_RC;130;2011
null;4919;RE_CA;131;2011
null;998;RE_CD;131;2011
null;275;RE_GC;131;2011
null;16;RE_J;131;2011
null;1511;RE_LU;131;2011
null;8515;RE_NOT;131;2011
null;45;RE_OC;131;2011
null;171;RE_OCD;131;2011
null;37333;RE_RC;131;2011
null;6388;RE_CA;132;2011
null;377;RE_CD;132;2011
null;37;RE_GC;132;2011
null;18;RE_J;132;2011
null;93;RE_LU;132;2011
null;5629;RE_NOT;132;2011
null;16;RE_OC;132;2011
null;48;RE_OCD;132;2011
null;7368;RE_RC;132;2011
null;4318;RE_CA;133;2011
null;852;RE_CD;133;2011
null;384;RE_GC;133;2011
null;76;RE_J;133;2011
null;652;RE_LU;133;2011
null;8556;RE_NOT;133;2011
null;78;RE_OC;133;2011
null;301;RE_OCD;133;2011
null;23458;RE_RC;133;2011
null;8123;RE_CA;134;2011
null;380;RE_CD;134;2011
null;195;RE_GC;134;2011
null;14;RE_J;134;2011
null;150;RE_LU;134;2011
null;4517;RE_NOT;134;2011
null;254;RE_OC;134;2011
null;79;RE_OCD;134;2011
null;12868;RE_RC;134;2011
null;9305;RE_CA;135;2011
null;1227;RE_CD;135;2011
null;665;RE_GC;135;2011
null;128;RE_J;135;2011
null;959;RE_LU;135;2011
null;14418;RE_NOT;135;2011
null;354;RE_OC;135;2011
null;517;RE_OCD;135;2011
null;28351;RE_RC;135;2011
null;12343;RE_CA;136;2011
null;2089;RE_CD;136;2011
null;1665;RE_GC;136;2011
null;56;RE_J;136;2011
null;995;RE_LU;136;2011
null;26480;RE_NOT;136;2011
null;188;RE_OC;136;2011
null;577;RE_OCD;136;2011
null;30519;RE_RC;136;2011
null;2078;RE_CA;137;2011
null;319;RE_CD;137;2011
null;118;RE_GC;137;2011
null;11;RE_J;137;2011
null;405;RE_LU;137;2011
null;2714;RE_NOT;137;2011
null;10;RE_OC;137;2011
null;73;RE_OCD;137;2011
null;13316;RE_RC;137;2011
null;5216;RE_CA;138;2011
null;1510;RE_CD;138;2011
null;267;RE_GC;138;2011
null;26;RE_J;138;2011
null;3411;RE_LU;138;2011
null;9240;RE_NOT;138;2011
null;35;RE_OC;138;2011
null;222;RE_OCD;138;2011
null;28200;RE_RC;138;2011
null;5349;RE_CA;139;2011
null;703;RE_CD;139;2011
null;395;RE_GC;139;2011
null;12;RE_J;139;2011
null;1397;RE_LU;139;2011
null;8865;RE_NOT;139;2011
null;45;RE_OC;139;2011
null;185;RE_OCD;139;2011
null;15037;RE_RC;139;2011
null;1679;RE_CA;122;2022
null;595;RE_CD;122;2022
null;207;RE_GC;122;2022
null;14;RE_J;122;2022
null;3477;RE_LU;122;2022
null;3449;RE_NOT;122;2022
null;17;RE_OC;122;2022
null;76;RE_OCD;122;2022
null;14270;RE_RC;122;2022
null;9623;RE_CA;123;2022
null;1496;RE_CD;123;2022
null;1091;RE_GC;123;2022
null;157;RE_J;123;2022
null;1475;RE_LU;123;2022
null;16044;RE_NOT;123;2022
null;185;RE_OC;123;2022
null;377;RE_OCD;123;2022
null;27439;RE_RC;123;2022
null;9529;RE_CA;124;2022
null;953;RE_CD;124;2022
null;358;RE_GC;124;2022
null;28;RE_J;124;2022
null;3256;RE_LU;124;2022
null;14104;RE_NOT;124;2022
null;85;RE_OC;124;2022
null;154;RE_OCD;124;2022
null;22041;RE_RC;124;2022
null;4008;RE_CA;125;2022
null;659;RE_CD;125;2022
null;280;RE_GC;125;2022
null;16;RE_J;125;2022
null;783;RE_LU;125;2022
null;7179;RE_NOT;125;2022
null;53;RE_OC;125;2022
null;102;RE_OCD;125;2022
null;17381;RE_RC;125;2022
null;7973;RE_CA;126;2022
null;1332;RE_CD;126;2022
null;1021;RE_GC;126;2022
null;77;RE_J;126;2022
null;1714;RE_LU;126;2022
null;16441;RE_NOT;126;2022
null;106;RE_OC;126;2022
null;267;RE_OCD;126;2022
null;20808;RE_RC;126;2022
null;10352;RE_CA;127;2022
null;2356;RE_CD;127;2022
null;1326;RE_GC;127;2022
null;95;RE_J;127;2022
null;1534;RE_LU;127;2022
null;24334;RE_NOT;127;2022
null;253;RE_OC;127;2022
null;430;RE_OCD;127;2022
null;30755;RE_RC;127;2022
null;14856;RE_CA;128;2022
null;4211;RE_CD;128;2022
null;1624;RE_GC;128;2022
null;110;RE_J;128;2022
null;3799;RE_LU;128;2022
null;25109;RE_NOT;128;2022
null;198;RE_OC;128;2022
null;647;RE_OCD;128;2022
null;43022;RE_RC;128;2022
null;5360;RE_CA;129;2022
null;1052;RE_CD;129;2022
