OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;1625;RE_CA;140;2011
null;118;RE_CD;140;2011
null;15;RE_GC;140;2011
Q;null;RE_J;140;2011
null;70;RE_LU;140;2011
null;2459;RE_NOT;140;2011
null;17;RE_OC;140;2011
null;22;RE_OCD;140;2011
null;13402;RE_RC;140;2011
null;1235;RE_CA;141;2011
null;66;RE_CD;141;2011
null;29;RE_GC;141;2011
null;0;RE_J;141;2011
null;1012;RE_LU;141;2011
null;980;RE_NOT;141;2011
Q;null;RE_OC;141;2011
null;16;RE_OCD;141;2011
null;10432;RE_RC;141;2011
null;1811;RE_CA;142;2011
null;247;RE_CD;142;2011
null;86;RE_GC;142;2011
null;13;RE_J;142;2011
null;737;RE_LU;142;2011
null;3140;RE_NOT;142;2011
null;7;RE_OC;142;2011
null;230;RE_OCD;142;2011
null;19075;RE_RC;142;2011
null;7543;RE_CA;143;2011
null;1397;RE_CD;143;2011
null;168;RE_GC;143;2011
null;60;RE_J;143;2011
null;1736;RE_LU;143;2011
null;18441;RE_NOT;143;2011
null;52;RE_OC;143;2011
null;283;RE_OCD;143;2011
null;59170;RE_RC;143;2011
null;827;RE_CA;144;2011
null;221;RE_CD;144;2011
null;45;RE_GC;144;2011
null;7;RE_J;144;2011
null;407;RE_LU;144;2011
null;3708;RE_NOT;144;2011
null;6;RE_OC;144;2011
null;51;RE_OCD;144;2011
null;21681;RE_RC;144;2011
null;1983;RE_CA;145;2011
null;101;RE_CD;145;2011
null;30;RE_GC;145;2011
Q;null;RE_J;145;2011
null;139;RE_LU;145;2011
null;2859;RE_NOT;145;2011
null;4;RE_OC;145;2011
null;35;RE_OCD;145;2011
null;15445;RE_RC;145;2011
null;5348;RE_CA;146;2011
null;543;RE_CD;146;2011
null;163;RE_GC;146;2011
null;30;RE_J;146;2011
null;1049;RE_LU;146;2011
null;6142;RE_NOT;146;2011
null;13;RE_OC;146;2011
null;115;RE_OCD;146;2011
null;22340;RE_RC;146;2011
null;895;RE_CA;147;2011
null;163;RE_CD;147;2011
null;15;RE_GC;147;2011
null;0;RE_J;147;2011
null;668;RE_LU;147;2011
null;1100;RE_NOT;147;2011
Q;null;RE_OC;147;2011
null;17;RE_OCD;147;2011
null;6496;RE_RC;147;2011
null;1170;RE_CA;140;2022
null;143;RE_CD;140;2022
null;19;RE_GC;140;2022
Q;null;RE_J;140;2022
null;52;RE_LU;140;2022
null;2449;RE_NOT;140;2022
null;12;RE_OC;140;2022
null;16;RE_OCD;140;2022
null;9333;RE_RC;140;2022
null;964;RE_CA;141;2022
null;66;RE_CD;141;2022
null;38;RE_GC;141;2022
Q;null;RE_J;141;2022
null;727;RE_LU;141;2022
null;954;RE_NOT;141;2022
null;3;RE_OC;141;2022
null;9;RE_OCD;141;2022
null;6906;RE_RC;141;2022
null;1532;RE_CA;142;2022
null;334;RE_CD;142;2022
null;99;RE_GC;142;2022
null;13;RE_J;142;2022
null;552;RE_LU;142;2022
null;3210;RE_NOT;142;2022
null;16;RE_OC;142;2022
null;286;RE_OCD;142;2022
null;13231;RE_RC;142;2022
null;6059;RE_CA;143;2022
null;1319;RE_CD;143;2022
null;234;RE_GC;143;2022
null;50;RE_J;143;2022
null;1435;RE_LU;143;2022
null;16102;RE_NOT;143;2022
null;50;RE_OC;143;2022
null;220;RE_OCD;143;2022
null;39893;RE_RC;143;2022
null;670;RE_CA;144;2022
null;341;RE_CD;144;2022
null;74;RE_GC;144;2022
null;4;RE_J;144;2022
null;377;RE_LU;144;2022
null;3667;RE_NOT;144;2022
null;15;RE_OC;144;2022
null;53;RE_OCD;144;2022
null;14571;RE_RC;144;2022
null;1427;RE_CA;145;2022
null;192;RE_CD;145;2022
null;42;RE_GC;145;2022
Q;null;RE_J;145;2022
null;115;RE_LU;145;2022
null;2591;RE_NOT;145;2022
null;6;RE_OC;145;2022
null;17;RE_OCD;145;2022
null;9952;RE_RC;145;2022
null;4684;RE_CA;146;2022
null;632;RE_CD;146;2022
null;242;RE_GC;146;2022
null;52;RE_J;146;2022
null;874;RE_LU;146;2022
null;6001;RE_NOT;146;2022
null;34;RE_OC;146;2022
null;83;RE_OCD;146;2022
null;17260;RE_RC;146;2022
null;617;RE_CA;147;2022
null;180;RE_CD;147;2022
null;21;RE_GC;147;2022
Q;null;RE_J;147;2022
null;478;RE_LU;147;2022
null;1372;RE_NOT;147;2022
null;5;RE_OC;147;2022
null;16;RE_OCD;147;2022
null;4361;RE_RC;147;2022
