OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;6893;RE_CA;148;2011
null;296;RE_CD;148;2011
null;3590;RE_GC;148;2011
Q;null;RE_J;148;2011
null;44;RE_LU;148;2011
null;585;RE_NOT;148;2011
Q;null;RE_OC;148;2011
null;35;RE_OCD;148;2011
null;4302;RE_RC;148;2011
null;8244;RE_CA;149;2011
null;154;RE_CD;149;2011
null;1783;RE_GC;149;2011
null;0;RE_J;149;2011
null;7;RE_LU;149;2011
null;445;RE_NOT;149;2011
null;55;RE_OC;149;2011
null;20;RE_OCD;149;2011
null;1089;RE_RC;149;2011
null;23258;RE_CA;150;2011
null;960;RE_CD;150;2011
null;1847;RE_GC;150;2011
Q;null;RE_J;150;2011
null;327;RE_LU;150;2011
null;2015;RE_NOT;150;2011
null;39;RE_OC;150;2011
null;32;RE_OCD;150;2011
null;2951;RE_RC;150;2011
null;8835;RE_CA;151;2011
null;444;RE_CD;151;2011
null;2017;RE_GC;151;2011
Q;null;RE_J;151;2011
null;92;RE_LU;151;2011
null;2007;RE_NOT;151;2011
null;11;RE_OC;151;2011
null;15;RE_OCD;151;2011
null;5575;RE_RC;151;2011
null;8356;RE_CA;152;2011
null;332;RE_CD;152;2011
null;1798;RE_GC;152;2011
null;6;RE_J;152;2011
null;92;RE_LU;152;2011
null;1230;RE_NOT;152;2011
null;7;RE_OC;152;2011
null;15;RE_OCD;152;2011
null;5443;RE_RC;152;2011
null;23908;RE_CA;153;2011
null;738;RE_CD;153;2011
null;7046;RE_GC;153;2011
null;6;RE_J;153;2011
null;77;RE_LU;153;2011
null;2005;RE_NOT;153;2011
null;32;RE_OC;153;2011
null;68;RE_OCD;153;2011
null;13770;RE_RC;153;2011
null;31809;RE_CA;154;2011
null;2023;RE_CD;154;2011
null;8264;RE_GC;154;2011
null;6;RE_J;154;2011
null;48;RE_LU;154;2011
null;4047;RE_NOT;154;2011
null;31;RE_OC;154;2011
null;63;RE_OCD;154;2011
null;7695;RE_RC;154;2011
null;5607;RE_CA;155;2011
null;169;RE_CD;155;2011
null;7728;RE_GC;155;2011
null;5;RE_J;155;2011
null;148;RE_LU;155;2011
null;1698;RE_NOT;155;2011
null;14;RE_OC;155;2011
null;45;RE_OCD;155;2011
null;7763;RE_RC;155;2011
null;11364;RE_CA;156;2011
null;253;RE_CD;156;2011
null;12538;RE_GC;156;2011
null;3;RE_J;156;2011
null;45;RE_LU;156;2011
null;2422;RE_NOT;156;2011
null;11;RE_OC;156;2011
null;47;RE_OCD;156;2011
null;8556;RE_RC;156;2011
null;27914;RE_CA;157;2011
null;2470;RE_CD;157;2011
