OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;1295;RE_CA;170;2011
null;219;RE_CD;170;2011
null;35;RE_GC;170;2011
Q;null;RE_J;170;2011
null;1452;RE_LU;170;2011
null;3185;RE_NOT;170;2011
null;11;RE_OC;170;2011
null;35;RE_OCD;170;2011
null;18535;RE_RC;170;2011
null;1163;RE_CA;171;2011
null;302;RE_CD;171;2011
null;34;RE_GC;171;2011
null;6;RE_J;171;2011
null;761;RE_LU;171;2011
null;4638;RE_NOT;171;2011
null;8;RE_OC;171;2011
null;70;RE_OCD;171;2011
null;18332;RE_RC;171;2011
null;6507;RE_CA;172;2011
null;742;RE_CD;172;2011
null;82;RE_GC;172;2011
null;7;RE_J;172;2011
null;2447;RE_LU;172;2011
null;8296;RE_NOT;172;2011
null;14;RE_OC;172;2011
null;92;RE_OCD;172;2011
null;19103;RE_RC;172;2011
null;5042;RE_CA;173;2011
null;546;RE_CD;173;2011
null;100;RE_GC;173;2011
null;17;RE_J;173;2011
null;1106;RE_LU;173;2011
null;13207;RE_NOT;173;2011
null;43;RE_OC;173;2011
null;133;RE_OCD;173;2011
null;23929;RE_RC;173;2011
null;2472;RE_CA;174;2011
null;253;RE_CD;174;2011
null;58;RE_GC;174;2011
null;4;RE_J;174;2011
null;928;RE_LU;174;2011
null;5677;RE_NOT;174;2011
null;7;RE_OC;174;2011
null;53;RE_OCD;174;2011
null;20280;RE_RC;174;2011
null;2054;RE_CA;175;2011
null;152;RE_CD;175;2011
null;22;RE_GC;175;2011
null;3;RE_J;175;2011
null;106;RE_LU;175;2011
null;2994;RE_NOT;175;2011
null;5;RE_OC;175;2011
null;10;RE_OCD;175;2011
null;8213;RE_RC;175;2011
null;867;RE_CA;170;2022
null;265;RE_CD;170;2022
null;47;RE_GC;170;2022
null;5;RE_J;170;2022
null;1137;RE_LU;170;2022
null;3024;RE_NOT;170;2022
null;15;RE_OC;170;2022
null;32;RE_OCD;170;2022
null;12123;RE_RC;170;2022
null;786;RE_CA;171;2022
null;362;RE_CD;171;2022
null;43;RE_GC;171;2022
null;0;RE_J;171;2022
null;560;RE_LU;171;2022
null;3753;RE_NOT;171;2022
null;9;RE_OC;171;2022
null;56;RE_OCD;171;2022
null;12588;RE_RC;171;2022
null;4988;RE_CA;172;2022
null;710;RE_CD;172;2022
null;137;RE_GC;172;2022
null;13;RE_J;172;2022
null;1917;RE_LU;172;2022
null;6634;RE_NOT;172;2022
null;72;RE_OC;172;2022
null;83;RE_OCD;172;2022
null;13221;RE_RC;172;2022
null;4026;RE_CA;173;2022
null;545;RE_CD;173;2022
null;104;RE_GC;173;2022
null;15;RE_J;173;2022
null;895;RE_LU;173;2022
null;10107;RE_NOT;173;2022
null;49;RE_OC;173;2022
null;85;RE_OCD;173;2022
null;16285;RE_RC;173;2022
null;1781;RE_CA;174;2022
null;278;RE_CD;174;2022
null;70;RE_GC;174;2022
null;4;RE_J;174;2022
null;671;RE_LU;174;2022
null;5568;RE_NOT;174;2022
null;10;RE_OC;174;2022
null;27;RE_OCD;174;2022
null;12700;RE_RC;174;2022
null;1438;RE_CA;175;2022
null;158;RE_CD;175;2022
null;36;RE_GC;175;2022
Q;null;RE_J;175;2022
null;133;RE_LU;175;2022
null;3013;RE_NOT;175;2022
Q;null;RE_OC;175;2022
null;23;RE_OCD;175;2022
null;5457;RE_RC;175;2022
