OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;565;RE_CA;176;2011
null;108;RE_CD;176;2011
null;24;RE_GC;176;2011
null;3;RE_J;176;2011
null;5570;RE_LU;176;2011
null;890;RE_NOT;176;2011
null;3;RE_OC;176;2011
null;29;RE_OCD;176;2011
null;11688;RE_RC;176;2011
null;2871;RE_CA;177;2011
null;149;RE_CD;177;2011
null;21;RE_GC;177;2011
Q;null;RE_J;177;2011
null;1447;RE_LU;177;2011
null;1222;RE_NOT;177;2011
null;17;RE_OC;177;2011
null;42;RE_OCD;177;2011
null;15766;RE_RC;177;2011
null;424;RE_CA;178;2011
null;169;RE_CD;178;2011
null;23;RE_GC;178;2011
null;5;RE_J;178;2011
null;1722;RE_LU;178;2011
null;1540;RE_NOT;178;2011
null;12;RE_OC;178;2011
null;28;RE_OCD;178;2011
null;14275;RE_RC;178;2011
null;543;RE_CA;179;2011
null;147;RE_CD;179;2011
null;32;RE_GC;179;2011
null;5;RE_J;179;2011
null;3200;RE_LU;179;2011
null;1374;RE_NOT;179;2011
null;8;RE_OC;179;2011
null;49;RE_OCD;179;2011
null;24606;RE_RC;179;2011
null;380;RE_CA;180;2011
null;58;RE_CD;180;2011
null;12;RE_GC;180;2011
Q;null;RE_J;180;2011
null;202;RE_LU;180;2011
null;708;RE_NOT;180;2011
null;13;RE_OC;180;2011
null;17;RE_OCD;180;2011
null;10474;RE_RC;180;2011
null;2158;RE_CA;181;2011
null;800;RE_CD;181;2011
null;144;RE_GC;181;2011
null;45;RE_J;181;2011
null;2899;RE_LU;181;2011
null;9362;RE_NOT;181;2011
null;43;RE_OC;181;2011
null;229;RE_OCD;181;2011
null;63623;RE_RC;181;2011
null;184;RE_CA;182;2011
null;89;RE_CD;182;2011
null;20;RE_GC;182;2011
Q;null;RE_J;182;2011
null;223;RE_LU;182;2011
null;420;RE_NOT;182;2011
null;3;RE_OC;182;2011
null;11;RE_OCD;182;2011
null;10184;RE_RC;182;2011
null;539;RE_CA;176;2022
null;108;RE_CD;176;2022
null;34;RE_GC;176;2022
null;9;RE_J;176;2022
null;4327;RE_LU;176;2022
null;1136;RE_NOT;176;2022
null;15;RE_OC;176;2022
null;44;RE_OCD;176;2022
null;8602;RE_RC;176;2022
null;2360;RE_CA;177;2022
null;222;RE_CD;177;2022
null;53;RE_GC;177;2022
null;8;RE_J;177;2022
null;1165;RE_LU;177;2022
null;1372;RE_NOT;177;2022
null;10;RE_OC;177;2022
null;45;RE_OCD;177;2022
null;11958;RE_RC;177;2022
null;497;RE_CA;178;2022
null;205;RE_CD;178;2022
null;72;RE_GC;178;2022
null;5;RE_J;178;2022
null;1579;RE_LU;178;2022
null;1661;RE_NOT;178;2022
null;11;RE_OC;178;2022
null;34;RE_OCD;178;2022
null;11321;RE_RC;178;2022
null;698;RE_CA;179;2022
null;241;RE_CD;179;2022
null;84;RE_GC;179;2022
null;6;RE_J;179;2022
null;2848;RE_LU;179;2022
null;1935;RE_NOT;179;2022
null;17;RE_OC;179;2022
null;43;RE_OCD;179;2022
null;18885;RE_RC;179;2022
null;370;RE_CA;180;2022
null;95;RE_CD;180;2022
null;38;RE_GC;180;2022
Q;null;RE_J;180;2022
null;179;RE_LU;180;2022
null;771;RE_NOT;180;2022
null;51;RE_OC;180;2022
null;17;RE_OCD;180;2022
null;7978;RE_RC;180;2022
null;2211;RE_CA;181;2022
null;1375;RE_CD;181;2022
null;247;RE_GC;181;2022
null;41;RE_J;181;2022
null;2655;RE_LU;181;2022
null;8970;RE_NOT;181;2022
null;209;RE_OC;181;2022
null;236;RE_OCD;181;2022
null;50460;RE_RC;181;2022
null;195;RE_CA;182;2022
null;174;RE_CD;182;2022
null;34;RE_GC;182;2022
Q;null;RE_J;182;2022
null;194;RE_LU;182;2022
null;694;RE_NOT;182;2022
Q;null;RE_OC;182;2022
null;11;RE_OCD;182;2022
null;7253;RE_RC;182;2022
