OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;1731;RE_CA;183;2011
null;235;RE_CD;183;2011
null;69;RE_GC;183;2011
null;5;RE_J;183;2011
null;1100;RE_LU;183;2011
null;4078;RE_NOT;183;2011
null;30;RE_OC;183;2011
null;47;RE_OCD;183;2011
null;21792;RE_RC;183;2011
null;3583;RE_CA;184;2011
null;258;RE_CD;184;2011
null;72;RE_GC;184;2011
null;6;RE_J;184;2011
null;421;RE_LU;184;2011
null;4473;RE_NOT;184;2011
null;5;RE_OC;184;2011
null;87;RE_OCD;184;2011
null;8909;RE_RC;184;2011
null;3097;RE_CA;185;2011
null;322;RE_CD;185;2011
null;84;RE_GC;185;2011
null;11;RE_J;185;2011
null;734;RE_LU;185;2011
null;3179;RE_NOT;185;2011
null;7;RE_OC;185;2011
null;87;RE_OCD;185;2011
null;10157;RE_RC;185;2011
null;1273;RE_CA;186;2011
null;68;RE_CD;186;2011
null;14;RE_GC;186;2011
Q;null;RE_J;186;2011
null;1011;RE_LU;186;2011
null;918;RE_NOT;186;2011
Q;null;RE_OC;186;2011
null;17;RE_OCD;186;2011
null;8783;RE_RC;186;2011
null;7049;RE_CA;187;2011
null;447;RE_CD;187;2011
null;61;RE_GC;187;2011
null;8;RE_J;187;2011
null;5510;RE_LU;187;2011
null;4239;RE_NOT;187;2011
null;25;RE_OC;187;2011
null;68;RE_OCD;187;2011
null;28407;RE_RC;187;2011
null;310;RE_CA;188;2011
null;71;RE_CD;188;2011
null;20;RE_GC;188;2011
null;9;RE_J;188;2011
null;169;RE_LU;188;2011
null;1067;RE_NOT;188;2011
null;9;RE_OC;188;2011
null;19;RE_OCD;188;2011
null;10444;RE_RC;188;2011
null;1027;RE_CA;189;2011
null;219;RE_CD;189;2011
null;56;RE_GC;189;2011
null;7;RE_J;189;2011
null;562;RE_LU;189;2011
null;3564;RE_NOT;189;2011
null;11;RE_OC;189;2011
null;49;RE_OCD;189;2011
null;20349;RE_RC;189;2011
null;2711;RE_CA;190;2011
null;618;RE_CD;190;2011
null;72;RE_GC;190;2011
null;11;RE_J;190;2011
null;1384;RE_LU;190;2011
null;8532;RE_NOT;190;2011
null;12;RE_OC;190;2011
null;78;RE_OCD;190;2011
null;13132;RE_RC;190;2011
null;7171;RE_CA;191;2011
null;735;RE_CD;191;2011
null;240;RE_GC;191;2011
null;28;RE_J;191;2011
null;1687;RE_LU;191;2011
null;15512;RE_NOT;191;2011
null;56;RE_OC;191;2011
null;316;RE_OCD;191;2011
null;33977;RE_RC;191;2011
null;2448;RE_CA;192;2011
null;343;RE_CD;192;2011
null;26;RE_GC;192;2011
null;6;RE_J;192;2011
null;224;RE_LU;192;2011
null;1254;RE_NOT;192;2011
null;3;RE_OC;192;2011
null;30;RE_OCD;192;2011
null;10325;RE_RC;192;2011
null;1432;RE_CA;183;2022
null;351;RE_CD;183;2022
null;86;RE_GC;183;2022
null;4;RE_J;183;2022
null;861;RE_LU;183;2022
null;3869;RE_NOT;183;2022
null;45;RE_OC;183;2022
null;59;RE_OCD;183;2022
null;14349;RE_RC;183;2022
null;2925;RE_CA;184;2022
null;324;RE_CD;184;2022
null;124;RE_GC;184;2022
null;7;RE_J;184;2022
null;379;RE_LU;184;2022
null;3934;RE_NOT;184;2022
null;15;RE_OC;184;2022
null;66;RE_OCD;184;2022
null;6957;RE_RC;184;2022
null;2623;RE_CA;185;2022
null;435;RE_CD;185;2022
null;111;RE_GC;185;2022
null;17;RE_J;185;2022
null;635;RE_LU;185;2022
null;2675;RE_NOT;185;2022
null;14;RE_OC;185;2022
null;56;RE_OCD;185;2022
null;7869;RE_RC;185;2022
null;876;RE_CA;186;2022
null;51;RE_CD;186;2022
null;34;RE_GC;186;2022
Q;null;RE_J;186;2022
null;736;RE_LU;186;2022
null;1056;RE_NOT;186;2022
null;0;RE_OC;186;2022
null;8;RE_OCD;186;2022
null;5475;RE_RC;186;2022
null;5583;RE_CA;187;2022
null;514;RE_CD;187;2022
null;112;RE_GC;187;2022
null;19;RE_J;187;2022
null;4178;RE_LU;187;2022
null;4213;RE_NOT;187;2022
null;40;RE_OC;187;2022
null;59;RE_OCD;187;2022
null;20234;RE_RC;187;2022
null;253;RE_CA;188;2022
null;140;RE_CD;188;2022
null;26;RE_GC;188;2022
null;4;RE_J;188;2022
null;145;RE_LU;188;2022
null;946;RE_NOT;188;2022
null;7;RE_OC;188;2022
null;27;RE_OCD;188;2022
null;7036;RE_RC;188;2022
null;911;RE_CA;189;2022
null;339;RE_CD;189;2022
null;88;RE_GC;189;2022
null;7;RE_J;189;2022
null;470;RE_LU;189;2022
null;3519;RE_NOT;189;2022
null;15;RE_OC;189;2022
null;67;RE_OCD;189;2022
null;13763;RE_RC;189;2022
null;2103;RE_CA;190;2022
null;643;RE_CD;190;2022
null;86;RE_GC;190;2022
null;6;RE_J;190;2022
null;1079;RE_LU;190;2022
null;7047;RE_NOT;190;2022
null;72;RE_OC;190;2022
null;59;RE_OCD;190;2022
null;9143;RE_RC;190;2022
null;6008;RE_CA;191;2022
null;998;RE_CD;191;2022
null;325;RE_GC;191;2022
null;24;RE_J;191;2022
null;1365;RE_LU;191;2022
null;12532;RE_NOT;191;2022
null;123;RE_OC;191;2022
null;307;RE_OCD;191;2022
null;23631;RE_RC;191;2022
null;1901;RE_CA;192;2022
null;351;RE_CD;192;2022
null;63;RE_GC;192;2022
null;4;RE_J;192;2022
null;208;RE_LU;192;2022
null;1600;RE_NOT;192;2022
null;5;RE_OC;192;2022
null;22;RE_OCD;192;2022
null;6864;RE_RC;192;2022
