OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;1398;RE_CA;193;2011
null;383;RE_CD;193;2011
null;79;RE_GC;193;2011
null;27;RE_J;193;2011
null;676;RE_LU;193;2011
null;4590;RE_NOT;193;2011
null;39;RE_OC;193;2011
null;128;RE_OCD;193;2011
null;29688;RE_RC;193;2011
null;762;RE_CA;194;2011
null;96;RE_CD;194;2011
null;18;RE_GC;194;2011
null;0;RE_J;194;2011
null;117;RE_LU;194;2011
null;1068;RE_NOT;194;2011
null;3;RE_OC;194;2011
null;19;RE_OCD;194;2011
null;13540;RE_RC;194;2011
null;170;RE_CA;195;2011
null;38;RE_CD;195;2011
null;13;RE_GC;195;2011
Q;null;RE_J;195;2011
null;51;RE_LU;195;2011
null;748;RE_NOT;195;2011
null;4;RE_OC;195;2011
null;23;RE_OCD;195;2011
null;12316;RE_RC;195;2011
null;1376;RE_CA;196;2011
null;437;RE_CD;196;2011
null;65;RE_GC;196;2011
null;24;RE_J;196;2011
null;1665;RE_LU;196;2011
null;6647;RE_NOT;196;2011
null;16;RE_OC;196;2011
null;136;RE_OCD;196;2011
null;49229;RE_RC;196;2011
null;3070;RE_CA;197;2011
null;665;RE_CD;197;2011
null;121;RE_GC;197;2011
null;37;RE_J;197;2011
null;1284;RE_LU;197;2011
null;11043;RE_NOT;197;2011
null;33;RE_OC;197;2011
null;244;RE_OCD;197;2011
null;61484;RE_RC;197;2011
null;224;RE_CA;198;2011
null;73;RE_CD;198;2011
null;17;RE_GC;198;2011
null;6;RE_J;198;2011
null;135;RE_LU;198;2011
null;1295;RE_NOT;198;2011
null;9;RE_OC;198;2011
null;21;RE_OCD;198;2011
null;10464;RE_RC;198;2011
null;1389;RE_CA;193;2022
null;670;RE_CD;193;2022
null;156;RE_GC;193;2022
null;33;RE_J;193;2022
null;625;RE_LU;193;2022
null;4310;RE_NOT;193;2022
null;146;RE_OC;193;2022
null;110;RE_OCD;193;2022
null;21879;RE_RC;193;2022
null;610;RE_CA;194;2022
null;143;RE_CD;194;2022
null;53;RE_GC;194;2022
null;4;RE_J;194;2022
null;118;RE_LU;194;2022
null;1155;RE_NOT;194;2022
null;7;RE_OC;194;2022
null;27;RE_OCD;194;2022
null;9304;RE_RC;194;2022
null;191;RE_CA;195;2022
null;151;RE_CD;195;2022
null;23;RE_GC;195;2022
Q;null;RE_J;195;2022
null;56;RE_LU;195;2022
null;721;RE_NOT;195;2022
Q;null;RE_OC;195;2022
null;9;RE_OCD;195;2022
null;8014;RE_RC;195;2022
null;1255;RE_CA;196;2022
null;727;RE_CD;196;2022
null;88;RE_GC;196;2022
null;21;RE_J;196;2022
null;1321;RE_LU;196;2022
null;5755;RE_NOT;196;2022
null;30;RE_OC;196;2022
null;98;RE_OCD;196;2022
null;33214;RE_RC;196;2022
null;2642;RE_CA;197;2022
null;1152;RE_CD;197;2022
null;194;RE_GC;197;2022
null;27;RE_J;197;2022
null;1105;RE_LU;197;2022
null;8777;RE_NOT;197;2022
null;87;RE_OC;197;2022
null;145;RE_OCD;197;2022
null;44133;RE_RC;197;2022
null;235;RE_CA;198;2022
null;175;RE_CD;198;2022
null;26;RE_GC;198;2022
null;10;RE_J;198;2022
null;119;RE_LU;198;2022
null;1357;RE_NOT;198;2022
null;14;RE_OC;198;2022
null;19;RE_OCD;198;2022
null;7029;RE_RC;198;2022
