id,roman_catholic_2011,greek_catholic_2011,calvinist_2011,lutheran_2011,orthodox_christian_2011,other_christian_2011,jewish_2011,atheist_2011,other_2011,percentage_of_religious_population_2011,roman_catholic_2022,greek_catholic_2022,calvinist_2022,lutheran_2022,orthodox_christian_2022,other_christian_2022,jewish_2022,atheist_2022,other_2022,percentage_of_religious_population_2022,change_in_the_number_of_religious_population,educational_attainment_level_2011,educational_attainment_level_2022,bellow_eight_grade_2011,primary_school_2011,secondary_school_2011,high_school_2011,higher_education_2011,bellow_eight_grade_2022,primary_school_2022,secondary_school_2022,high_school_2022,higher_education_2022,change_in_educational_attainment_level
110,42524.0,396.0,6018.0,555.0,51.0,1060.0,29.0,15527.0,283.0,0.7663,29223.0,444.0,5096.0,439.0,76.0,1178.0,33.0,14479.0,287.0,0.7175,-0.2777,0.5033,0.5561,10531,22391,20147,23658,13679,8680,17229,19939,26554,13679,0.05280000000000007
111,9010.0,47.0,3145.0,1013.0,3.0,164.0,5.0,1768.0,18.0,0.8835,6245.0,54.0,2532.0,780.0,6.0,141.0,0.0,2220.0,26.0,0.8151,-0.2701,0.4425,0.4944,2490,5927,5331,3916,1681,1770,4710,5460,4479,1681,0.0519
112,13489.0,141.0,7013.0,427.0,11.0,319.0,6.0,6937.0,91.0,0.756,9162.0,170.0,5881.0,313.0,18.0,317.0,4.0,6451.0,62.0,0.7117,-0.2591,0.4993,0.554,4288,9826,8851,10285,5255,3354,7243,8847,11192,5255,0.054700000000000026
113,7375.0,147.0,2284.0,1277.0,12.0,338.0,7.0,7297.0,41.0,0.6114,4554.0,116.0,1859.0,879.0,21.0,343.0,3.0,6309.0,50.0,0.5536,-0.3184,0.4789,0.5312,2950,6825,6184,6430,2792,2283,5274,6332,7238,2792,0.05230000000000001
114,13532.0,121.0,6497.0,424.0,14.0,304.0,14.0,7027.0,101.0,0.7493,9904.0,176.0,5226.0,361.0,16.0,365.0,26.0,6843.0,78.0,0.7024,-0.2311,0.5452,0.5973,3890,8015,7903,10338,8047,3555,6088,7695,11435,8047,0.052100000000000035
115,24726.0,375.0,5560.0,809.0,26.0,904.0,25.0,27090.0,275.0,0.5469,17237.0,476.0,5169.0,633.0,82.0,938.0,23.0,21515.0,210.0,0.5351,-0.2426,0.5156,0.5681,9329,19318,18425,22613,13227,7381,15375,18164,25323,13227,0.0525000000000001
116,24781.0,45.0,681.0,2561.0,6.0,518.0,22.0,2384.0,64.0,0.9233,18455.0,68.0,638.0,1949.0,12.0,570.0,19.0,2565.0,68.0,0.8946,-0.2406,0.478,0.5345,5178,10634,8143,10066,4509,3518,7899,7593,10633,4509,0.056499999999999995
117,10400.0,53.0,398.0,189.0,7.0,230.0,0.0,4687.0,45.0,0.7072,6435.0,45.0,315.0,260.0,13.0,282.0,0.0,3579.0,24.0,0.6732,-0.3487,0.4457,0.503,2974,6530,4490,5017,1781,1807,4740,4293,5006,1781,0.05730000000000002
118,18513.0,79.0,467.0,2014.0,8.0,550.0,8.0,2943.0,54.0,0.8805,12906.0,103.0,494.0,1535.0,7.0,644.0,8.0,2895.0,62.0,0.8448,-0.2735,0.4338,0.4927,4818,9279,6841,6491,2822,3108,7480,6556,7254,2822,0.05890000000000001
119,13567.0,77.0,1339.0,1749.0,15.0,280.0,6.0,1911.0,50.0,0.8994,10069.0,138.0,1222.0,1389.0,10.0,356.0,5.0,2305.0,57.0,0.8518,-0.2246,0.4638,0.5259,3098,6755,5387,5516,2866,2323,5393,5296,6637,2866,0.062100000000000044
120,30846.0,118.0,1136.0,1182.0,6.0,1266.0,19.0,13432.0,177.0,0.7212,19518.0,139.0,815.0,903.0,9.0,1506.0,16.0,9748.0,148.0,0.7028,-0.3366,0.475,0.5322,8745,18363,10809,15678,7761,5216,13512,10395,15109,7761,0.05720000000000003
121,14134.0,17.0,146.0,163.0,3.0,319.0,0.0,1100.0,15.0,0.9308,10136.0,30.0,130.0,114.0,8.0,437.0,5.0,1242.0,16.0,0.8975,-0.265,0.4014,0.4634,3549,6097,3662,3688,1535,2128,5154,3471,3961,1535,0.062
193,29688.0,79.0,1398.0,676.0,39.0,383.0,27.0,4590.0,128.0,0.876,21879.0,156.0,1389.0,625.0,146.0,670.0,33.0,4310.0,110.0,0.853,-0.2286,0.5382,0.598,5052,10453,10507,13154,9607,3815,7816,10359,14189,9607,0.059799999999999964
194,13540.0,18.0,762.0,117.0,3.0,96.0,0.0,1068.0,19.0,0.9316,9304.0,53.0,610.0,118.0,7.0,143.0,4.0,1155.0,27.0,0.8989,-0.2947,0.4704,0.535,2355,5362,4766,4628,2044,1439,3734,4885,4908,2044,0.06460000000000005
195,12316.0,13.0,170.0,51.0,4.0,38.0,0.0,748.0,23.0,0.944,8014.0,23.0,191.0,56.0,0.0,151.0,0.0,721.0,9.0,0.9213,-0.3306,0.4104,0.4795,2476,5476,3596,3070,1220,1409,4064,3630,3324,1220,0.0691
196,49229.0,65.0,1376.0,1665.0,16.0,437.0,24.0,6647.0,136.0,0.8885,33214.0,88.0,1255.0,1321.0,30.0,727.0,21.0,5755.0,98.0,0.8646,-0.3058,0.4902,0.5451,8700,21391,15597,19440,9751,6072,15472,15266,20155,9751,0.054900000000000004
197,61484.0,121.0,3070.0,1284.0,33.0,665.0,37.0,11043.0,244.0,0.8584,44133.0,194.0,2642.0,1105.0,87.0,1152.0,27.0,8777.0,145.0,0.8494,-0.2607,0.5247,0.5807,10726,23017,22428,26643,16563,7715,16414,21336,27664,16563,0.05599999999999994
198,10464.0,17.0,224.0,135.0,9.0,73.0,6.0,1295.0,21.0,0.8942,7029.0,26.0,235.0,119.0,14.0,175.0,10.0,1357.0,19.0,0.849,-0.3034,0.4523,0.5202,2048,4308,3797,3355,1559,1255,3184,3787,3663,1559,0.06790000000000002
170,18535.0,35.0,1295.0,1452.0,11.0,219.0,0.0,3185.0,35.0,0.8714,12123.0,47.0,867.0,1137.0,15.0,265.0,5.0,3024.0,32.0,0.8273,-0.3286,0.4539,0.5213,4084,8989,7760,6331,3280,2551,6154,7443,6941,3280,0.06739999999999996
171,18332.0,34.0,1163.0,761.0,8.0,302.0,6.0,4638.0,70.0,0.8168,12588.0,43.0,786.0,560.0,9.0,362.0,0.0,3753.0,56.0,0.7933,-0.3033,0.4688,0.5274,4025,9019,6884,7539,3306,2529,6606,6669,8032,3306,0.058599999999999985
172,19103.0,82.0,6507.0,2447.0,14.0,742.0,7.0,8296.0,92.0,0.7775,13221.0,137.0,4988.0,1917.0,72.0,710.0,13.0,6634.0,83.0,0.7612,-0.2708,0.4797,0.5472,6761,12238,10697,11312,6799,4360,8993,9914,12066,6799,0.0675
173,23929.0,100.0,5042.0,1106.0,43.0,546.0,17.0,13207.0,133.0,0.7007,16285.0,104.0,4026.0,895.0,49.0,545.0,15.0,10107.0,85.0,0.6852,-0.2883,0.517,0.5664,6679,14563,11780,14677,9551,4894,10384,11093,14451,9551,0.0494
174,20280.0,58.0,2472.0,928.0,7.0,253.0,4.0,5677.0,53.0,0.8091,12700.0,70.0,1781.0,671.0,10.0,278.0,4.0,5568.0,27.0,0.7362,-0.3539,0.4151,0.4734,6015,12168,8792,6554,3031,3722,9211,9034,7175,3031,0.05829999999999996
175,8213.0,22.0,2054.0,106.0,5.0,152.0,3.0,2994.0,10.0,0.7792,5457.0,36.0,1438.0,133.0,0.0,158.0,0.0,3013.0,23.0,0.7063,-0.3142,0.4567,0.5148,2428,5112,4057,3738,2055,1732,3910,4222,4216,2055,0.05810000000000004
148,4302.0,3590.0,6893.0,44.0,0.0,296.0,0.0,585.0,35.0,0.9628,3197.0,2591.0,5823.0,37.0,17.0,356.0,0.0,668.0,7.0,0.9474,-0.2066,0.3749,0.4503,3484,6766,3520,2926,1223,2028,5500,3326,3927,1223,0.07539999999999997
149,1089.0,1783.0,8244.0,7.0,55.0,154.0,0.0,445.0,20.0,0.9623,844.0,1245.0,5908.0,7.0,43.0,106.0,0.0,506.0,9.0,0.9416,-0.281,0.3892,0.4604,2654,4268,2275,2418,1072,1595,3702,2155,2933,1072,0.07119999999999999
150,2951.0,1847.0,23258.0,327.0,39.0,960.0,0.0,2015.0,32.0,0.9359,1836.0,1919.0,18868.0,229.0,52.0,850.0,0.0,1866.0,20.0,0.9272,-0.1917,0.3965,0.4745,7599,10712,6929,6641,3214,4615,9537,6212,9010,3214,0.07799999999999996
151,5575.0,2017.0,8835.0,92.0,11.0,444.0,0.0,2007.0,15.0,0.8943,3468.0,1412.0,6721.0,80.0,15.0,511.0,13.0,2255.0,17.0,0.8444,-0.2797,0.3884,0.4479,4572,7199,4824,3834,1588,2809,6349,4690,4615,1588,0.0595
